Rank,Network,Network Type,Network Category,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
63,FSM,Cable,Sports,3,"3,710",0.44%,"1,237",662,"7,390",0.43%,"2,463",1.99,
64,FSSD,Cable,Sports,4,"3,648",0.43%,912,"1,061","5,419",0.31%,"1,355",1.49,
65,UNI,Broadcast,Hispanic,18,"3,535",0.42%,196,870,"5,545",0.32%,308,1.57,
66,STZK,Cable,Premium,10,"3,147",0.37%,315,515,"3,521",0.20%,352,1.12,
67,BRAVO,Cable,-,23,"3,101",0.36%,135,971,"4,495",0.26%,195,1.45,
68,PRIME,Cable,Sports,4,"3,081",0.36%,770,933,"4,416",0.26%,"1,104",1.43,
69,HBOC,Cable,Premium,17,"2,919",0.34%,172,536,"3,120",0.18%,184,1.07,
70,ENCORE,Cable,Premium,8,"2,754",0.32%,344,652,"3,126",0.18%,391,1.14,
71,MTV2,Cable,-,47,"2,525",0.30%,54,704,"2,742",0.16%,58,1.09,
72,TRUTV,Cable,-,31,"2,437",0.29%,79,482,"3,078",0.18%,99,1.26,
73,OWN,Cable,-,19,"2,410",0.28%,127,952,"3,183",0.18%,168,1.32,
74,TOON,Cable,-,24,"2,344",0.28%,98,649,"2,580",0.15%,108,1.10,
75,FSTN,Cable,Sports,4,"2,267",0.27%,567,"1,090","4,252",0.25%,"1,063",1.88,
76,DXD,Cable,-,49,"2,178",0.26%,44,705,"2,338",0.14%,48,1.07,
77,ESQTV,Cable,-,20,"2,170",0.26%,109,488,"2,969",0.17%,148,1.37,
78,BBCA,Cable,-,23,"2,103",0.25%,91,872,"2,788",0.16%,121,1.33,
79,HISTORY,Cable,-,32,"2,091",0.25%,65,588,"3,063",0.18%,96,1.46,
80,ION,Broadcast,-,25,"1,977",0.23%,79,543,"2,312",0.13%,92,1.17,
81,TVGN,Cable,-,12,"1,968",0.23%,164,755,"3,741",0.22%,312,1.90,
82,TLC,Cable,-,27,"1,911",0.22%,71,485,"2,223",0.13%,82,1.16,
83,SPSOUTH,Cable,Sports,3,"1,875",0.22%,625,962,"2,565",0.15%,855,1.37,
84,BEIN2,Cable,Hispanic Sports,2,"1,826",0.21%,913,"1,192","2,543",0.15%,"1,272",1.39,
85,HBOF,Cable,Premium,16,"1,727",0.20%,108,602,"1,841",0.11%,115,1.07,
86,SYFY,Cable,-,14,"1,684",0.20%,120,690,"1,860",0.11%,133,1.10,
87,NFLNET,Cable,Sports,9,"1,673",0.20%,186,671,"2,100",0.12%,233,1.26,
88,FXM,Cable,-,7,"1,561",0.18%,223,817,"1,793",0.10%,256,1.15,
89,HBO,Cable,Premium,19,"1,524",0.18%,80,820,"1,661",0.10%,87,1.09,
90,TELE,Broadcast,Hispanic,13,"1,496",0.18%,115,"1,056","2,967",0.17%,228,1.98,
91,FCSP,Cable,Sports,2,"1,473",0.17%,737,914,"2,184",0.13%,"1,092",1.48,
92,FUSE,Cable,-,9,"1,377",0.16%,153,"1,023","1,539",0.09%,171,1.12,
93,LRW,Cable,-,11,"1,332",0.16%,121,812,"1,595",0.09%,145,1.20,
94,CNNI,Cable,News,10,"1,331",0.16%,133,827,"1,958",0.11%,196,1.47,
95,PBS,Broadcast,-,39,"1,297",0.15%,33,972,"1,468",0.08%,38,1.13,
96,BOOM,Cable,-,35,"1,288",0.15%,37,620,"1,380",0.08%,39,1.07,
97,CSS,Cable,Sports,4,"1,205",0.14%,301,"1,321","1,768",0.10%,442,1.47,
98,FS1,Cable,Sports,8,"1,191",0.14%,149,"1,012","1,451",0.08%,181,1.22,
99,NBCSN,Cable,Sports,8,"1,142",0.13%,143,885,"1,557",0.09%,195,1.36,
