Rank,Network,Network Type,Network Category,Program,Program/Genre Type,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
93,DSC,Cable,-,Fast N' Loud,"Reality Series, Docs & Special Interests",3,311,0.04%,104,443,389,0.02%,130,1.25,
94,ADSM,Cable,-,The Cleveland Show,Comedy Series,1,300,0.04%,300,593,312,0.02%,312,1.04,
95,GALA,Cable,Hispanic,El Chavo,Comedy Series,1,298,0.04%,298,536,307,0.02%,307,1.03,
96,CW,Broadcast,-,Community,Comedy Series,2,272,0.03%,136,"2,719",426,0.02%,213,1.57,
97,COMEDY,Cable,-,It's Always Sunny in Philadelphia,Comedy Series,2,271,0.03%,136,554,296,0.02%,148,1.09,
98,NGC,Cable,-,"Drugs, Inc.",Docs & Special Interests,1,269,0.03%,269,522,284,0.02%,284,1.06,
99,TRUTV,Cable,-,Panic Button,Reality Series,1,255,0.03%,255,726,463,0.03%,463,1.82,
100,CBS,Broadcast,-,Elementary,"Docs & Special Interests, Drama Series",1,255,0.03%,255,828,314,0.02%,314,1.23,
101,TELE,Broadcast,Hispanic,Marido en Alquiler,Drama Series,1,251,0.03%,251,"1,003",817,0.05%,817,3.25,
102,E,Cable,-,Party On,"Docs & Special Interests, Reality Series",2,245,0.03%,123,724,318,0.02%,159,1.30,
103,TNCK,Cable,-,Big Time Rush,"Children & Family, Comedy Series",2,243,0.03%,122,"1,744",313,0.02%,157,1.29,
104,NIK,Cable,-,SpongeBob SquarePants,"Comedy Series, Sci-Fi Series, Children & Family",1,242,0.03%,242,495,265,0.02%,265,1.10,
105,HBO,Cable,Premium,Ja'mie: Private School Girl,Comedy Series,1,240,0.03%,240,480,263,0.02%,263,1.10,
106,DISN,Cable,-,Austin & Ally,"Comedy Series, Children & Family",2,239,0.03%,120,911,328,0.02%,164,1.37,
107,TCM,Cable,-,A Christmas Carol,Movies,1,227,0.03%,227,955,332,0.02%,332,1.46,
108,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",6,223,0.03%,37,659,231,0.01%,39,1.04,
109,HBOSIG,Cable,Premium,The Sopranos,Drama Series,1,214,0.03%,214,682,238,0.01%,238,1.11,
110,CNN,Cable,News,CNN Special Report: Extraordinary People,Special Programs,1,210,0.02%,210,603,231,0.01%,231,1.10,
111,TRAV,Cable,-,Bizarre Foods With Andrew Zimmern,"Reality Series, Docs & Special Interests",1,204,0.02%,204,784,225,0.01%,225,1.10,
112,UNI,Broadcast,Hispanic,Mentir Para Vivir,Drama Series,1,203,0.02%,203,902,328,0.02%,328,1.62,
113,TELE,Broadcast,Hispanic,La Reina del Sur,Drama Series,1,201,0.02%,201,526,225,0.01%,225,1.12,
114,OXYGEN,Cable,-,Catwoman,Movies,1,197,0.02%,197,615,207,0.01%,207,1.05,
115,MYNETTV,Broadcast,-,House,Drama Series,2,194,0.02%,97,542,210,0.01%,105,1.08,
116,GSN,Cable,-,Family Feud,Series,2,188,0.02%,94,"1,016",199,0.01%,100,1.06,
117,CBS,Broadcast,-,The Millers,Comedy Series,1,182,0.02%,182,871,190,0.01%,190,1.04,
118,ADSM,Cable,-,American Dad,Comedy Series,1,174,0.02%,174,549,183,0.01%,183,1.05,
119,MTV2,Cable,-,Ain't That America,Comedy Series,6,160,0.02%,27,651,168,0.01%,28,1.05,
120,APL,Cable,-,North Woods Law,"Reality Series, Docs & Special Interests",3,159,0.02%,53,709,210,0.01%,70,1.32,
121,FXX,Cable,-,Wanted,Movies,1,158,0.02%,158,508,161,0.01%,161,1.02,
122,OXYGEN,Cable,-,Last Holiday,Movies,1,157,0.02%,157,574,164,0.01%,164,1.04,
123,TVLAND,Cable,-,Everybody Loves Raymond,Comedy Series,4,156,0.02%,39,975,162,0.01%,41,1.04,
