Rank,Network,Network Type,Network Category,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
158,ENCFAM,Cable,Premium,1,3,0.00%,3,570,4,0.00%,4,1.33,
159,SPROUT,Cable,-,2,2,0.00%,1,196,2,0.00%,1,1.00,
160,MGMHD,Cable,-,1,2,0.00%,2,620,2,0.00%,2,1.00,
161,FSNFL,Cable,Sports,1,2,0.00%,2,432,2,0.00%,2,1.00,
162,MSG,Cable,Sports,4,2,0.00%,1,16,2,0.00%,1,1.00,
163,SONY,Cable,-,1,2,0.00%,2,39,2,0.00%,2,1.00,
164,CSNBA,Cable,Sports,1,2,0.00%,2,88,3,0.00%,3,1.50,
165,CIN,Cable,-,1,1,0.00%,1,79,1,0.00%,1,1.00,
166,FSM3,Cable,Sports,1,1,0.00%,1,46,1,0.00%,1,1.00,
167,NESN,Cable,Sports,1,1,0.00%,1,850,1,0.00%,1,1.00,
168,BEIN1,Cable,Hispanic Sports,1,1,0.00%,1,559,1,0.00%,1,1.00,
169,FUSION,Cable,-,1,1,0.00%,1,900,1,0.00%,1,1.00,
170,FAMZ,Cable,Premium,1,1,0.00%,1,121,1,0.00%,1,1.00,
171,WOMEN,Cable,Premium,1,1,0.00%,1,324,1,0.00%,1,1.00,
172,FOXLFUS,Cable,-,1,1,0.00%,1,64,2,0.00%,2,2.00,
173,SHOWX,Cable,Premium,1,1,0.00%,1,77,1,0.00%,1,1.00,
174,5MAX,Cable,Premium,1,1,0.00%,1,"1,443",1,0.00%,1,1.00,
175,BOOM,Cable,-,1,1,0.00%,1,399,1,0.00%,1,1.00,
176,FSM,Cable,Sports,1,1,0.00%,1,46,1,0.00%,1,1.00,
