Date/Time,Lat,Lon,Base
6/6/14 7:15,40.7749,-73.9587,B02512
4/4/14 7:15,40.7209,-73.9813,B02512
6/16/14 7:17,40.756,-73.9752,B02512
4/20/14 7:17,40.7923,-73.9676,B02512
5/2/14 7:20,40.739,-73.9991,B02512
6/17/14 7:21,40.7273,-73.9797,B02512
5/2/14 7:22,40.7751,-73.9475,B02512
4/16/14 7:22,40.7406,-73.9983,B02512
6/3/14 7:23,40.8364,-74.1461,B02512
5/12/14 7:24,40.7452,-73.991,B02512
4/25/14 7:25,40.7805,-73.9481,B02512
6/21/14 7:25,40.7805,-73.9481,B02512
4/3/14 7:26,40.7814,-73.9513,B02512
5/28/14 7:26,40.7864,-73.9699,B02512
4/8/14 7:27,40.783,-73.9559,B02512
5/28/14 7:28,40.7582,-73.9928,B02512
4/21/14 7:29,40.7216,-74.0046,B02512
6/21/14 7:29,40.7298,-73.9988,B02512
5/27/14 7:29,40.7746,-73.956,B02512
7/4/14 7:30,40.7208,-73.994,B02512
4/5/14 7:32,40.7669,-73.9617,B02512
4/24/14 7:32,40.7084,-74.0064,B02512
7/5/14 7:35,40.7425,-73.9942,B02512
6/5/14 7:35,40.7424,-73.9838,B02512
5/13/14 7:35,40.7724,-73.955,B02512
6/19/14 7:37,40.7787,-73.9559,B02512
5/3/14 7:38,40.7752,-73.9637,B02512
6/28/14 7:38,40.7754,-73.95,B02512
6/5/14 7:38,40.7368,-74.0044,B02512
5/4/14 7:40,40.7174,-73.9924,B02512
5/10/14 7:42,40.7305,-73.9934,B02512
5/29/14 7:45,40.7747,-73.9613,B02512
6/24/14 7:45,40.7229,-73.994,B02512
5/2/14 7:46,40.7396,-73.981,B02512
7/4/14 7:46,40.725,-73.9994,B02512
5/19/14 7:50,40.695,-74.1774,B02512
6/10/14 7:51,40.719,-74.0064,B02512
6/8/14 7:51,40.8271,-73.9726,B02512
4/30/14 7:53,40.7793,-73.9495,B02512
4/27/14 7:54,40.7266,-73.9801,B02512
5/2/14 7:55,40.6922,-74.1811,B02512
4/26/14 7:56,40.7418,-74.0074,B02512
4/18/14 7:56,40.7108,-73.9845,B02512
5/1/14 7:57,40.7857,-73.9802,B02512
5/1/14 7:59,40.7757,-73.9502,B02512
7/3/14 8:01,40.7514,-73.9699,B02512
