pickup_datetime,Pickup_longitude,Pickup_latitude
4/22/14 2:39,-73.97109222,40.68954849
5/2/14 15:02,-73.97028351,40.6948967
6/24/14 10:23,-73.97002411,40.68774414
6/16/14 0:55,-73.96958923,40.67372513
4/17/14 7:11,-73.96922302,40.68941498
4/15/14 14:45,-73.96891785,40.67212296
6/8/14 9:17,-73.96837616,40.71072769
5/23/14 13:38,-73.9678421,40.68374252
4/22/14 6:36,-73.96747589,40.68362808
5/18/14 13:43,-73.96731567,40.71345139
5/27/14 6:01,-73.96729279,40.68178558
5/10/14 0:56,-73.96703339,40.63370514
5/29/14 15:44,-73.96703339,40.71392822
5/11/14 2:30,-73.96676636,40.7146759
6/20/14 22:28,-73.96659851,40.71060944
5/29/14 23:43,-73.96656036,40.80410385
5/26/14 6:08,-73.9665451,40.71525192
4/14/14 21:46,-73.9664917,40.71533585
4/21/14 22:22,-73.96643829,40.8042984
4/23/14 17:23,-73.96631622,40.80493164
4/27/14 9:47,-73.96623993,40.71298599
4/24/14 9:06,-73.96620941,40.71297836
5/15/14 4:50,-73.96582031,40.80414963
4/29/14 4:37,-73.96562195,40.71303558
6/23/14 16:25,-73.96560669,40.71053696
6/4/14 23:04,-73.9655838,40.80611038
4/4/14 4:00,-73.9654541,40.71063995
4/10/14 3:04,-73.96533966,40.7109375
6/23/14 23:55,-73.9653244,40.71386337
4/10/14 23:43,-73.96520233,40.71707153
5/6/14 8:52,-73.96514893,40.71419144
5/7/14 2:43,-73.96487427,40.71486664
6/2/14 3:42,-73.96457672,40.68294144
6/13/14 2:53,-73.96435547,40.68084335
6/14/14 1:05,-73.96403503,40.71029663
5/11/14 3:32,-73.96401215,40.80775833
4/9/14 12:28,-73.96394348,40.80301285
4/23/14 3:15,-73.96393585,40.67840958
4/12/14 22:55,-73.96392059,40.71717072
5/8/14 10:30,-73.96386719,40.71634293
5/8/14 1:49,-73.96385956,40.71023178
7/2/14 9:50,-73.96383667,40.80819321
5/22/14 12:19,-73.96370697,40.80286789
4/4/14 19:07,-73.96368408,40.71035767
6/23/14 19:53,-73.96365356,40.80817032
6/28/14 15:14,-73.96360779,40.8084259
6/19/14 20:40,-73.96354675,40.67631912
7/5/14 10:20,-73.96333313,40.71026611
5/4/14 0:35,-73.96331024,40.6754303
4/20/14 22:12,-73.96329498,40.681427
6/11/14 13:33,-73.96317291,40.71708679
5/24/14 21:17,-73.9631424,40.68999481
4/21/14 1:38,-73.96302032,40.71168137
6/6/14 0:16,-73.96295929,40.71729279
6/24/14 12:56,-73.96279144,40.64844513
6/21/14 15:39,-73.96279144,40.7122345
4/29/14 10:47,-73.9624939,40.80526352
6/9/14 3:28,-73.96243286,40.80498123
6/26/14 7:42,-73.96204376,40.81041336
5/16/14 15:42,-73.96201324,40.7135582
4/18/14 3:52,-73.96199036,40.71593857
6/10/14 7:19,-73.96199036,40.71588135
4/14/14 22:45,-73.96195221,40.71347427
5/6/14 16:57,-73.9618988,40.68252563
4/22/14 23:01,-73.96179962,40.67720032
5/7/14 0:03,-73.96179199,40.69397736
5/11/14 9:21,-73.9617157,40.80594254
4/15/14 14:26,-73.96170807,40.71389008
6/20/14 7:42,-73.96159363,40.71644592
6/18/14 13:58,-73.96157074,40.71938705
6/28/14 16:36,-73.9614563,40.81112671
4/6/14 8:44,-73.96138763,40.7143898
5/23/14 5:53,-73.9613266,40.68230438
6/21/14 9:31,-73.96128082,40.71459198
5/30/14 12:37,-73.96125031,40.71926117
4/27/14 11:42,-73.96124268,40.71455002
5/19/14 5:23,-73.96112823,40.71894836
4/18/14 22:39,-73.96057892,40.71524811
5/14/14 15:14,-73.96054077,40.71529388
4/21/14 4:09,-73.96052551,40.65944672
5/12/14 15:15,-73.9602356,40.71845627
5/24/14 1:04,-73.96022797,40.71841812
5/18/14 2:31,-73.9601593,40.71839905
6/19/14 9:56,-73.96015167,40.7155571
5/13/14 11:19,-73.96012878,40.71841812
4/29/14 23:03,-73.96008301,40.65621948
4/25/14 7:09,-73.96003723,40.71395111
5/19/14 9:25,-73.95999908,40.72960663
6/2/14 9:50,-73.95994568,40.70901871
4/30/14 15:51,-73.95990753,40.71577072
4/23/14 5:13,-73.95988464,40.81370544
6/7/14 21:29,-73.95988464,40.81370544
4/14/14 8:33,-73.95987701,40.71818924
4/23/14 14:21,-73.95964813,40.71503067
4/24/14 22:48,-73.95954132,40.68677902
5/11/14 20:32,-73.95950317,40.7191658
5/8/14 4:16,-73.95928192,40.80923843
6/15/14 10:57,-73.95916748,40.81690598
7/5/14 17:59,-73.95912933,40.6852684
5/17/14 9:20,-73.95901489,40.71670532
4/4/14 20:51,-73.95896912,40.7168045
5/15/14 19:47,-73.95888519,40.65113449
5/17/14 7:23,-73.95888519,40.65113449
6/5/14 0:57,-73.95887756,40.7168045
4/4/14 6:04,-73.9588623,40.72102356
5/30/14 8:16,-73.95870209,40.80976868
6/2/14 23:19,-73.95854187,40.71713638
4/23/14 22:17,-73.95850372,40.68167877
6/2/14 22:59,-73.95840454,40.65725327
6/14/14 8:31,-73.95839691,40.71721649
4/19/14 9:46,-73.95830536,40.71335983
4/11/14 18:32,-73.95824432,40.81047058
7/2/14 3:42,-73.95822144,40.71740723
6/17/14 4:17,-73.9581604,40.6943779
5/2/14 10:42,-73.95812225,40.72190857
4/22/14 15:21,-73.95806885,40.72191238
5/24/14 4:55,-73.95806885,40.72188187
4/14/14 18:25,-73.95804596,40.72188187
6/24/14 11:00,-73.95802307,40.72190857
4/30/14 23:25,-73.95802307,40.72180939
5/22/14 10:10,-73.95800781,40.72188187
6/19/14 21:40,-73.95800018,40.72193146
5/31/14 9:44,-73.95800018,40.71757507
5/10/14 2:00,-73.95796967,40.71769333
6/4/14 13:20,-73.95795441,40.71765137
5/27/14 13:48,-73.95793915,40.72186279
6/23/14 13:45,-73.95792389,40.72190857
5/25/14 21:19,-73.95791626,40.67097855
6/2/14 9:11,-73.95790863,40.81542206
4/11/14 13:32,-73.95790863,40.72183609
4/4/14 19:16,-73.95787048,40.72202682
5/29/14 6:53,-73.95786285,40.71453857
5/19/14 2:50,-73.95783234,40.67102432
5/21/14 9:55,-73.95781708,40.72195816
6/29/14 21:59,-73.95781708,40.72196579
5/1/14 18:02,-73.95781708,40.71774292
6/23/14 17:04,-73.95780945,40.71775818
5/25/14 10:00,-73.9577713,40.71805573
6/16/14 2:56,-73.95776367,40.72201157
5/2/14 0:32,-73.95774841,40.73064041
4/19/14 14:53,-73.95773315,40.71799088
7/3/14 19:18,-73.95773315,40.71779633
6/23/14 18:10,-73.9577179,40.72993088
4/14/14 13:57,-73.95771027,40.71451569
4/18/14 10:17,-73.95771027,40.67173004
4/6/14 7:26,-73.95768738,40.71798325
6/1/14 20:10,-73.95765686,40.71791077
6/16/14 9:20,-73.95764923,40.7179718
5/23/14 21:45,-73.9576416,40.7179184
4/10/14 5:57,-73.9575882,40.71799088
5/19/14 1:43,-73.95757294,40.71798325
7/5/14 7:13,-73.95756531,40.60904312
5/24/14 0:22,-73.95751953,40.7180481
4/28/14 21:55,-73.95750427,40.69063568
4/26/14 1:54,-73.95744324,40.71819305
4/30/14 6:08,-73.95736694,40.72222137
6/14/14 4:48,-73.9573288,40.7267189
6/23/14 17:51,-73.95732117,40.728508
6/18/14 1:48,-73.95731354,40.71834183
4/16/14 14:48,-73.95731354,40.8018837
4/12/14 9:15,-73.95724487,40.80177307
4/20/14 5:31,-73.95716095,40.71747971
4/23/14 7:40,-73.95713043,40.7455368
6/14/14 8:53,-73.95701599,40.71854401
6/21/14 18:20,-73.95700073,40.71653366
6/19/14 16:52,-73.95666504,40.74464035
4/28/14 3:10,-73.95656586,40.745327
5/25/14 1:26,-73.95632172,40.72631073
6/10/14 16:55,-73.95614624,40.71422958
4/2/14 17:08,-73.95613861,40.67689133
5/30/14 17:48,-73.95609283,40.81309509
4/18/14 15:00,-73.95603943,40.81890106
6/1/14 6:07,-73.95597839,40.71947098
5/27/14 9:52,-73.9559021,40.68117523
6/19/14 22:25,-73.95585632,40.71940994
7/3/14 7:07,-73.95584106,40.71411514
6/25/14 5:00,-73.95583344,40.71563721
5/26/14 9:39,-73.95566559,40.71984863
4/4/14 20:30,-73.95565033,40.64062881
5/12/14 2:32,-73.95553589,40.72008514
4/24/14 15:03,-73.95536804,40.71821213
4/7/14 11:12,-73.95532227,40.80440903
4/28/14 2:29,-73.95529938,40.73640823
4/30/14 12:51,-73.9552536,40.68112946
5/26/14 10:33,-73.95521545,40.80427933
5/29/14 20:52,-73.95509338,40.73513412
4/21/14 1:24,-73.95503998,40.68906784
4/6/14 14:42,-73.95487976,40.72253036
4/24/14 9:10,-73.95487213,40.82023621
5/11/14 14:51,-73.95487213,40.8051033
7/4/14 7:21,-73.95484161,40.69477463
4/19/14 2:53,-73.95484161,40.72239685
6/6/14 10:53,-73.95471191,40.78937149
6/12/14 21:23,-73.95468903,40.73277664
7/5/14 23:13,-73.95465088,40.80557251
5/14/14 15:19,-73.95464325,40.73225784
5/26/14 8:37,-73.95457458,40.78909683
7/1/14 15:32,-73.95433807,40.7873497
4/21/14 14:39,-73.95431519,40.58721161
4/5/14 2:57,-73.95428467,40.80584335
6/29/14 14:53,-73.95426178,40.80590439
4/12/14 22:40,-73.95423126,40.58742523
5/2/14 0:56,-73.95420074,40.80067444
6/20/14 0:12,-73.95404053,40.79065323
4/15/14 5:44,-73.95400238,40.7275238
5/8/14 2:08,-73.95391846,40.7141304
6/4/14 9:28,-73.95391846,40.7141304
7/4/14 5:57,-73.95388794,40.7908287
6/11/14 16:16,-73.95383453,40.58733368
4/25/14 16:11,-73.95359039,40.68507004
5/30/14 16:38,-73.95357513,40.71969604
7/1/14 6:32,-73.9535141,40.58720779
6/20/14 20:37,-73.95342255,40.78841019
4/13/14 8:18,-73.95341492,40.8070755
4/3/14 21:59,-73.95327759,40.79149246
5/15/14 17:54,-73.95320892,40.72804642
6/18/14 7:56,-73.95305634,40.81106186
4/6/14 8:10,-73.95291138,40.82288742
5/1/14 22:01,-73.95289612,40.81089401
6/10/14 21:37,-73.95285797,40.80347061
6/21/14 9:53,-73.95285034,40.81072617
4/8/14 5:28,-73.95281982,40.81084061
5/27/14 18:53,-73.95269012,40.81043243
5/28/14 12:45,-73.95265198,40.81057739
5/28/14 8:10,-73.95263672,40.81065369
4/13/14 0:23,-73.95256805,40.8105011
6/10/14 6:03,-73.9525528,40.73461151
5/5/14 14:04,-73.95238495,40.7232933
6/7/14 10:25,-73.95238495,40.80849457
5/16/14 2:32,-73.95230103,40.78980255
6/12/14 20:25,-73.95228577,40.7899437
4/16/14 8:43,-73.95227051,40.78992462
4/30/14 11:37,-73.95227051,40.78992462
4/10/14 21:22,-73.95217896,40.73418808
4/9/14 1:19,-73.95215607,40.81151962
4/11/14 0:18,-73.95211792,40.79008865
6/5/14 18:33,-73.95207977,40.79004669
7/5/14 4:14,-73.95195007,40.79000092
5/8/14 0:21,-73.9519043,40.71248627
4/16/14 2:10,-73.95188141,40.6805687
5/13/14 14:16,-73.95187378,40.7256012
7/1/14 2:48,-73.95180511,40.71176529
5/24/14 2:58,-73.95175934,40.81044769
6/16/14 10:46,-73.95175171,40.7148819
4/19/14 6:52,-73.95166016,40.79344177
5/31/14 13:00,-73.95165253,40.71499252
5/4/14 2:52,-73.9516449,40.71375656
5/14/14 23:21,-73.95162964,40.71373367
4/6/14 12:10,-73.95160675,40.72542191
6/18/14 20:08,-73.95158386,40.71395493
6/25/14 1:36,-73.9515152,40.71392441
4/22/14 15:24,-73.9515152,40.68970871
5/13/14 10:28,-73.95149231,40.71398163
6/22/14 22:50,-73.95146942,40.68979645
6/15/14 16:16,-73.95139313,40.71199799
5/6/14 12:41,-73.9513855,40.71413422
6/22/14 6:37,-73.95136261,40.72356033
5/21/14 6:31,-73.95133209,40.80512619
6/25/14 5:41,-73.95129395,40.71099091
7/4/14 2:03,-73.9511261,40.79138947
7/7/14 5:23,-73.95105743,40.81027603
4/9/14 3:39,-73.95098114,40.82587814
5/4/14 18:28,-73.950737,40.72387314
4/5/14 0:34,-73.95066833,40.6937027
6/5/14 1:17,-73.95045471,40.7238884
6/27/14 4:45,-73.95034027,40.72195816
5/25/14 5:40,-73.95022583,40.72192383
4/12/14 1:05,-73.95020294,40.68310165
6/2/14 13:52,-73.95014191,40.6804924
6/25/14 22:25,-73.95007324,40.80162811
6/11/14 9:24,-73.95006561,40.72781754
5/16/14 7:52,-73.95005798,40.7224884
5/13/14 2:12,-73.95002747,40.72240448
5/12/14 5:56,-73.94996643,40.72221756
4/28/14 14:30,-73.94993591,40.72230148
4/13/14 12:36,-73.94991302,40.68252182
4/29/14 13:29,-73.9499054,40.82204437
5/21/14 13:34,-73.94989014,40.72215271
5/17/14 2:54,-73.94985962,40.80169678
6/21/14 20:15,-73.94985962,40.72200012
6/22/14 3:50,-73.94976807,40.72232819
5/21/14 10:19,-73.94968414,40.6806488
6/5/14 9:35,-73.94960785,40.79334259
6/17/14 8:38,-73.94952393,40.80210114
4/28/14 15:18,-73.94948578,40.82257843
7/5/14 22:41,-73.94947815,40.80186081
6/29/14 16:19,-73.94941711,40.68043518
5/24/14 20:32,-73.94921112,40.71401596
4/19/14 8:52,-73.94921112,40.80150223
5/21/14 20:22,-73.94920349,40.71298218
4/11/14 10:08,-73.94914246,40.71118546
4/10/14 18:23,-73.94898987,40.80821609
4/17/14 20:07,-73.94891357,40.78567886
5/5/14 8:10,-73.94852448,40.63386154
4/28/14 14:51,-73.94844055,40.79495621
6/15/14 2:51,-73.94835663,40.8091011
5/3/14 12:18,-73.948349,40.7457428
4/19/14 1:28,-73.94831848,40.80480957
4/19/14 8:49,-73.94831848,40.83111191
4/3/14 16:16,-73.94826508,40.80381393
4/8/14 5:40,-73.94812775,40.74492645
6/6/14 8:09,-73.94807434,40.80410385
4/26/14 6:27,-73.94803619,40.81687546
5/3/14 6:32,-73.94770813,40.83023071
4/3/14 1:29,-73.94768524,40.80452728
4/19/14 14:36,-73.94749451,40.72484589
6/3/14 6:55,-73.94741821,40.63246536
4/13/14 23:44,-73.94740295,40.71137619
6/29/14 16:54,-73.94738007,40.83050156
6/11/14 17:15,-73.94732666,40.82312012
6/12/14 17:14,-73.94715118,40.82569885
4/10/14 0:00,-73.94697571,40.7228775
4/22/14 10:44,-73.94683075,40.6957016
7/4/14 16:29,-73.94665527,40.63189316
5/28/14 22:55,-73.94644928,40.68032074
6/9/14 18:50,-73.94618988,40.80814362
5/26/14 15:12,-73.94606018,40.68023682
5/21/14 0:14,-73.945961,40.7457962
6/28/14 18:02,-73.94570923,40.81278992
6/30/14 5:49,-73.9457016,40.82433319
4/29/14 21:05,-73.94567871,40.80763626
5/9/14 14:38,-73.94564056,40.68301773
5/8/14 5:50,-73.94560242,40.80781174
6/6/14 20:59,-73.94551086,40.71149063
6/18/14 7:05,-73.94538116,40.80804062
6/28/14 9:20,-73.94532776,40.80807114
5/12/14 23:45,-73.94529724,40.80814743
5/17/14 23:02,-73.94528961,40.83348465
6/18/14 12:46,-73.94528961,40.82429123
6/13/14 6:20,-73.94527435,40.82300568
4/24/14 15:49,-73.94522095,40.70030212
6/15/14 23:37,-73.94520569,40.79082108
6/21/14 1:26,-73.94513702,40.80753326
4/23/14 18:43,-73.94511414,40.80817795
6/6/14 9:18,-73.94509888,40.80813599
5/30/14 3:33,-73.94506836,40.80818176
6/28/14 20:39,-73.9450531,40.80807114
4/5/14 9:57,-73.94502258,40.70754242
4/2/14 12:45,-73.94499207,40.80820847
6/27/14 21:00,-73.94498444,40.80823135
5/25/14 17:33,-73.94493103,40.791008
5/10/14 1:24,-73.94491577,40.82373428
4/13/14 22:12,-73.94471741,40.80888367
5/28/14 16:39,-73.94464874,40.80905151
4/22/14 23:53,-73.94442749,40.8094101
5/8/14 22:21,-73.94441223,40.8140564
7/5/14 1:19,-73.94435883,40.71452332
4/25/14 15:48,-73.94424438,40.7998085
5/24/14 17:00,-73.94387817,40.70179367
4/13/14 4:37,-73.94379425,40.79571152
6/11/14 6:46,-73.94369507,40.81546021
6/4/14 9:12,-73.94354248,40.82347107
6/6/14 11:34,-73.94337463,40.8103981
4/15/14 0:39,-73.94334412,40.8275795
4/10/14 1:44,-73.94314575,40.78965378
5/28/14 8:59,-73.94313812,40.83125687
4/30/14 7:00,-73.9431076,40.70735168
4/28/14 20:25,-73.94306946,40.79375839
6/2/14 2:23,-73.94277191,40.81167603
5/17/14 15:40,-73.9426651,40.69092178
7/6/14 15:58,-73.94264984,40.83310699
4/2/14 18:28,-73.94248199,40.79041672
4/23/14 18:52,-73.94236755,40.71105576
4/29/14 7:40,-73.94235992,40.7541008
4/20/14 17:09,-73.94232178,40.70066833
5/28/14 20:52,-73.94225311,40.66867828
6/15/14 19:05,-73.94225311,40.83774948
4/26/14 8:57,-73.94224548,40.80652618
4/22/14 21:16,-73.94217682,40.83775711
4/11/14 1:02,-73.94206238,40.82257843
5/6/14 2:17,-73.94205475,40.7869339
6/14/14 23:14,-73.9420166,40.82299042
6/5/14 4:40,-73.94193268,40.7147789
5/28/14 20:21,-73.94190979,40.70081711
6/16/14 0:04,-73.94182587,40.81772614
6/26/14 3:10,-73.94152832,40.81828308
4/16/14 21:51,-73.94145203,40.70009613
4/5/14 11:20,-73.94116974,40.84182358
5/16/14 20:29,-73.94102478,40.80595016
6/28/14 2:15,-73.94100952,40.74775314
6/16/14 19:21,-73.94084167,40.83987045
6/4/14 2:32,-73.94072723,40.81393433
4/5/14 16:16,-73.94065857,40.83962631
6/13/14 2:14,-73.94063568,40.78877258
5/12/14 22:52,-73.94055939,40.71191025
6/1/14 1:24,-73.94038391,40.84036636
6/3/14 9:02,-73.94023132,40.8251915
7/5/14 17:21,-73.94023132,40.8251915
5/17/14 21:23,-73.94020844,40.79802704
4/16/14 5:25,-73.94018555,40.81488419
