,zip,primary_city,county,state,County#,ZCTA5CE10,area-sqm
684,52147,HAWKEYE,Fayette,IA,33,52147,187912171
685,52151,LANSING,Allamakee,IA,3,52151,324670969
686,52154,LAWLER,Chickasaw,IA,19,52154,189966484
687,52155,LIME SPRINGS,Howard,IA,45,52155,274895155
688,52156,LUANA,Clayton,IA,22,52156,110195420
689,52157,MC GREGOR,Clayton,IA,22,52157,149443621
690,52158,MARQUETTE,Clayton,IA,22,52158,3357585
691,52159,MONONA,Clayton,IA,22,52159,197141302
692,52160,NEW ALBIN,Allamakee,IA,3,52160,103702081
693,52161,OSSIAN,Winneshiek,IA,96,52161,140304657
694,52162,POSTVILLE,Allamakee,IA,3,52162,258921418
695,52163,PROTIVIN,Howard,IA,45,52163,4602409
696,52164,RANDALIA,Fayette,IA,33,52164,65306405
697,52165,RIDGEWAY,Winneshiek,IA,96,52165,172290350
698,52166,SAINT LUCAS,Fayette,IA,33,52166,493739
699,52168,SPILLVILLE,Winneshiek,IA,96,52168,417415
700,52169,WADENA,Fayette,IA,33,52169,77089638
701,52170,WATERVILLE,Allamakee,IA,3,52170,120174634
702,52171,WAUCOMA,Fayette,IA,33,52171,205897170
703,52171,WAUCOMA,Fayette,IA,33,52171,205897170
704,52172,WAUKON,Allamakee,IA,3,52172,409930314
705,52175,WEST UNION,Fayette,IA,33,52175,224708583
706,52201,AINSWORTH,Washington,IA,92,52201,171814169
707,52202,ALBURNETT,Linn,IA,57,52202,65295077
708,52203,AMANA,Iowa,IA,48,52203,119753928
709,52205,ANAMOSA,Jones,IA,53,52205,309946308
710,52206,ATKINS,Benton,IA,6,52206,73245916
711,52207,BALDWIN,Jackson,IA,49,52207,102173612
712,52208,BELLE PLAINE,Benton,IA,6,52208,150729430
713,52209,BLAIRSTOWN,Benton,IA,6,52209,95402594
714,52210,BRANDON,Buchanan,IA,10,52210,90462642
715,52211,BROOKLYN,Poweshiek,IA,79,52211,236939306
716,52212,CENTER JUNCTION,Jones,IA,53,52212,60790568
717,52213,CENTER POINT,Linn,IA,57,52213,194486805
718,52214,CENTRAL CITY,Linn,IA,57,52214,247622502
719,52215,CHELSEA,Tama,IA,86,52215,224182198
720,52216,CLARENCE,Cedar,IA,16,52216,146950128
721,52217,CLUTIER,Tama,IA,86,52217,152367658
722,52218,COGGON,Linn,IA,57,52218,187432341
723,52219,PRAIRIEBURG,Linn,IA,57,52219,1194124
724,52220,CONROY,Iowa,IA,48,52220,1194245
725,52221,GUERNSEY,Poweshiek,IA,79,52221,53776053
726,52222,DEEP RIVER,Poweshiek,IA,79,52222,209152349
727,52223,DELHI,Delaware,IA,28,52223,127619807
728,52224,DYSART,Tama,IA,86,52224,256593612
729,52225,ELBERON,Tama,IA,86,52225,91276214
730,52227,ELY,Linn,IA,57,52227,76013553
731,52228,FAIRFAX,Linn,IA,57,52228,96928032
732,52229,GARRISON,Benton,IA,6,52229,127391906
733,52231,HARPER,Keokuk,IA,54,52231,84735151
734,52232,HARTWICK,Poweshiek,IA,79,52232,47517446
735,52233,HIAWATHA,Linn,IA,57,52233,9080084
736,52235,HILLS,Johnson,IA,52,52235,5257012
737,52236,HOMESTEAD,Iowa,IA,48,52236,74148178
738,52237,HOPKINTON,Delaware,IA,28,52237,210461938
739,52240,IOWA CITY,Johnson,IA,52,52240,415571318
740,52241,CORALVILLE,Johnson,IA,52,52241,30871305
741,52242,IOWA CITY,Johnson,IA,52,52242,1995678
742,52245,IOWA CITY,Johnson,IA,52,52245,21712859
743,52246,IOWA CITY,Johnson,IA,52,52246,23832009
744,52246,IOWA CITY,Johnson,IA,52,52246,23832009
745,52247,KALONA,Washington,IA,92,52247,206350122
746,52248,KEOTA,Washington,IA,92,52248,295236835
747,52249,KEYSTONE,Benton,IA,6,52249,131160363
748,52251,LADORA,Iowa,IA,48,52251,106339173
749,52253,LISBON,Linn,IA,57,52253,121480006
750,52254,LOST NATION,Clinton,IA,23,52254,146759383
751,52255,LOWDEN,Cedar,IA,16,52255,112408307
752,52257,LUZERNE,Benton,IA,6,52257,40665450
