,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
5596,50669,164132.197195,15.3368288452,1.0,239.750053,0.00417101054822,29491.02,11.7447311828
5605,50671,-197626.919762,20.813043735,,,,,
5606,50672,107080.056889,32.4892674503,,,,,
5607,50673,-19617.4750417,-7.19836728412,,,,,
5608,50674,64046.8774369,6.62202181716,1.0,408.690075,0.00244684190092,108274.32,13.1618747538
5620,50675,484707.370406,13.4189510147,2.0,287.237436,0.00696288070194,112497.72,11.9966344759
5642,50676,18251.7169164,3.14969463563,1.0,148.867149,0.00671739874591,199040.4,11.3337387597
5654,50677,744437.325487,12.8885323654,5.0,325.186841,0.015375775922,1565152.74,12.9050618195
5709,50681,-12047.7796433,-5.88619629928,,,,,
5710,50682,56347.8679837,15.9866957381,2.0,220.98261,0.00905048591833,53649.04,14.4072614971
5731,50701,2758775.25124,14.3981918388,14.0,214.718743,0.0652015739492,2483492.66,14.4494194062
5852,50702,2831205.16787,14.3241344856,16.0,25.60849,0.624792793328,2834825.22,14.5673798014
6016,50703,2909545.78819,17.0266992523,16.0,244.724015,0.0653797707593,3308874.47,16.866212575
6180,50707,1315002.46364,14.2591697018,6.0,25.361881,0.236575512676,556021.8,13.6769709747
6249,50801,779491.242422,13.60926307,5.0,545.028688,0.00917382902971,1056698.82,14.0669960906
6305,50833,146131.414249,18.5038862742,1.0,536.325319,0.00186453998082,73566.12,13.1477009522
6317,50835,-237716.557219,15.2158106202,,,,,
6318,50836,41089.3436751,7.78834453727,,,,,
6319,50837,69767.9773923,20.275678924,,,,,
6320,50841,384858.851493,12.8506067232,1.0,610.836196,0.001637100104,122941.68,12.4594298779
6332,50843,-17101.8929032,6.37933952092,,,,,
6333,50845,82675.6713928,40.6355589816,,,,,
6334,50846,156817.732414,10.6653188567,1.0,238.867152,0.00418642744148,77941.08,13.5103276131
6346,50847,279110.587871,15.4768740052,,,,,
6347,50848,-115276.338596,14.182238104,,,,,
6348,50849,333913.492328,10.6957791486,3.0,304.431532,0.00985443255595,142461.78,12.2882324781
6371,50851,194442.232752,13.0632658506,2.0,335.214398,0.00596633083762,39376.2,13.0861415753
6383,50853,130124.412783,19.2119061221,,,,,
6384,50854,352111.046276,13.4701866921,3.0,350.941226,0.00854843996014,172702.68,11.6237047208
6412,50857,-171601.559154,10.7563477605,,,,,
6413,50858,110886.291048,14.8234489533,,,,,
6414,50859,-51325.6215323,-69.5326772618,,,,,
6415,50861,-40932.9473582,-108.733787554,,,,,
6416,50862,-216730.166835,10.5692204342,,,,,
6417,50863,15533.1082777,-27.4682611054,,,,,
6418,50864,192290.563145,13.9418685691,1.0,377.642994,0.0026480035798,6123.0,12.4831804281
6424,51001,254085.851343,15.5963094252,1.0,360.862327,0.00277113992007,51783.48,12.567097676
6436,51002,182868.947629,19.5302988527,1.0,297.148464,0.00336532111436,10388.16,12.0862827225
6442,51003,295671.6311,15.9650658811,,,,,
6443,51004,183429.604621,20.0279459657,1.0,212.848541,0.00469817643711,113425.32,12.2765835855
6455,51005,380495.229028,15.8757901377,1.0,244.17026,0.00409550286755,10519.74,10.7729032258
6462,51006,-150164.46276,13.587109841,,,,,
6463,51007,287395.936933,10.8936421918,,,,,
6464,51008,-60290.2114383,2228.43726551,,,,,
6465,51011,256658.168317,12.2272732359,,,,,
6466,51012,463222.443846,11.8197505914,5.0,386.838104,0.0129253037596,699747.96,12.6412437972
6515,51014,60780.1272071,8.34677199371,,,,,
6516,51016,232888.013389,13.7543905111,,,,,
6517,51018,42079.7059839,-16.1794624505,,,,,
6518,51019,71577.7682086,9.57877539911,,,,,
6519,51022,-9095.77536805,-1.39696645627,,,,,
6520,51023,197934.222148,13.6846150042,1.0,271.44549,0.00368398089797,162008.16,12.7096324748
6532,51024,188010.195679,15.622741071,,,,,
