,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
135,2561,50321,2015,10188,157134.87,10648.53
136,2561,50321,2016,1903,25738.32,1886.64
137,2562,50501,2015,4087,54966.77,5348.2
138,2562,50501,2016,1109,14998.9,1492.75
139,2564,50701,2015,3618,48879.54,3981.03
140,2564,50701,2016,772,10800.62,776.0
141,2565,51301,2015,5281,71542.43,5189.44
142,2565,51301,2016,1232,16250.33,1168.59
143,2566,50138,2015,2534,30363.02,2175.55
144,2566,50138,2016,521,6734.91,460.51
145,2567,52806,2015,3870,46456.51,4067.3
146,2567,52806,2016,832,9150.3,740.74
147,2568,52402,2015,3101,25844.42,2456.08
148,2568,52402,2016,868,7560.49,669.61
149,2569,52402,2015,3597,48675.15,3607.84
150,2569,52402,2016,826,12818.44,726.29
151,2571,50703,2015,6764,80618.12,5823.65
152,2571,50703,2016,1586,23275.92,1956.1
153,2572,50613,2015,6567,99356.85,6094.24
154,2572,50613,2016,1389,21168.75,1312.11
155,2573,52761,2015,7818,122362.25,8191.67
156,2573,52761,2016,1576,23487.54,1596.52
157,2575,50702,2015,1889,23572.2,1881.0
158,2575,50702,2016,276,3560.59,243.25
159,2576,50588,2015,3025,51268.32,3346.65
160,2576,50588,2016,672,9695.4,701.8
161,2578,50616,2015,4814,66903.18,5148.65
162,2578,50616,2016,1126,13808.11,1103.15
163,2579,50112,2015,2054,30280.1,1977.6
164,2579,50112,2016,402,6117.93,404.38
165,2582,50401,2015,6594,68202.92,5502.68
166,2582,50401,2016,1175,13896.99,1037.95
167,2584,52627,2015,3070,45918.08,3245.7
168,2584,52627,2016,549,8397.24,571.8
169,2585,50511,2015,4757,70885.9,5428.48
170,2585,50511,2016,1109,15130.15,1200.61
171,2587,50131,2015,5447,80916.32,5387.34
172,2587,50131,2016,1029,14530.32,963.61
173,2588,52403,2015,5627,92001.25,5842.38
174,2588,52403,2016,1065,15585.2,1111.46
175,2590,52402,2015,8879,121474.94,7987.13
176,2590,52402,2016,1742,24968.28,1533.32
177,2591,50022,2015,3458,49416.0,3497.37
178,2591,50022,2016,892,12581.82,872.7
179,2592,50158,2015,1239,15110.9,1378.42
180,2592,50158,2016,282,3701.45,386.62
181,2593,51401,2015,11977,191333.88,13406.82
182,2593,51401,2016,1656,21627.69,1604.43
183,2594,51106,2015,5098,73663.47,4833.67
184,2594,51106,2016,1221,19897.8,1280.37
185,2595,51442,2015,5861,76857.1,6756.82
186,2595,51442,2016,2112,29151.01,2907.38
187,2596,52501,2015,2493,30207.68,2737.63
188,2596,52501,2016,291,2871.11,258.54
189,2597,51012,2015,1584,18779.1,1608.95
190,2597,51012,2016,349,3825.26,351.75
191,2599,52241,2015,507,6683.73,445.65
192,2600,52577,2015,1652,20355.99,1712.25
193,2600,52577,2016,419,5323.43,433.25
194,2601,52556,2015,3726,55932.63,3466.66
195,2601,52556,2016,978,14308.5,935.69
196,2602,50595,2015,3878,50235.06,3943.12
197,2602,50595,2016,714,9614.15,695.54
198,2603,52722,2015,8759,132877.27,8458.7
199,2603,52722,2016,1635,25358.66,1571.99
200,2604,51031,2015,4043,53845.76,3794.87
201,2604,51031,2016,1050,15009.61,1090.93
202,2605,52402,2015,7836,95407.77,8283.86
203,2605,52402,2016,1470,20510.67,1587.85
204,2606,50548,2015,2836,38012.27,2697.27
205,2606,50548,2016,743,9454.32,809.2
206,2607,51601,2015,3485,47709.92,3377.63
207,2607,51601,2016,791,11693.51,819.19
208,2609,50010,2015,727,6466.98,471.9
209,2609,50010,2016,150,1458.07,84.8
210,2611,52501,2015,3175,36242.75,2620.59
211,2611,52501,2016,842,10047.41,815.09
212,2612,50220,2015,1854,22949.94,1754.1
213,2612,50220,2016,355,4203.26,315.6
214,2613,51501,2015,7020,87657.76,6061.3
215,2613,51501,2016,1836,27308.34,1766.35
216,2614,52807,2015,10051,142675.29,9868.23
217,2614,52807,2016,2846,39097.17,3167.86
218,2616,52732,2015,11349,154160.15,10585.88
219,2616,52732,2016,2779,35819.83,2604.91
220,2618,52402,2015,1843,21287.84,1711.99
221,2618,52402,2016,702,7701.0,559.64
222,2619,50266,2015,8680,143958.96,8575.07
223,2619,50266,2016,1944,28845.9,1753.11
224,2620,50311,2015,6631,97187.35,6589.11
225,2620,50311,2016,1105,15953.4,1133.93
226,2621,51105,2015,6502,80768.93,5850.95
227,2621,51105,2016,1620,20311.34,1562.12
228,2622,52240,2015,4612,74371.39,5053.06
229,2622,52240,2016,983,14030.1,897.29
230,2623,51104,2015,7484,105536.35,7128.27
231,2623,51104,2016,1127,15265.89,1064.98
232,2624,52002,2015,6846,92409.9,7578.73
233,2624,52002,2016,1498,18777.7,1232.96
234,2625,52804,2015,12386,182118.58,12029.17
235,2625,52804,2016,2690,39426.95,2730.41
236,2626,50311,2015,8337,89785.01,6020.27
237,2626,50311,2016,1634,19062.31,1230.41
238,2627,50310,2015,10737,84356.91,5552.31
239,2627,50310,2016,2118,18304.19,1154.03
240,2628,50627,2015,1186,14489.19,1265.5
241,2628,50627,2016,303,3230.97,317.25
242,2629,51503,2015,11737,184574.96,11876.3
243,2629,51503,2016,2225,34738.31,2184.85
244,2630,50266,2015,1546,20852.8,1369.73
245,2630,50266,2016,542,7710.71,760.5
246,2633,50320,2015,62923,1000783.3,61909.75
247,2633,50320,2016,13833,219551.79,14011.75
248,2635,52807,2015,7195,109793.2,6728.43
249,2635,52807,2016,1322,19836.1,1279.35
250,2636,50317,2015,5417,72498.46,5153.82
251,2636,50317,2016,1382,11498.47,788.6
252,2637,52804,2015,6824,83063.32,6497.2
253,2637,52804,2016,1833,20891.09,1545.65
254,2641,51501,2015,3124,26887.2,2015.53
255,2641,51501,2016,847,5759.12,488.7
256,2642,50219,2015,4467,64223.84,4401.71
257,2642,50219,2016,883,12817.15,868.07
258,2643,50701,2015,4721,74914.35,4880.72
259,2643,50701,2016,870,14690.39,751.33
260,2644,50501,2015,8693,127422.83,8057.78
261,2644,50501,2016,2049,27860.24,1906.6
262,2647,52411,2015,6745,113193.97,6584.19
263,2647,52411,2016,1327,20349.93,1381.74
264,2648,50265,2015,9381,158668.94,9311.07
265,2648,50265,2016,1925,34139.38,1767.22
266,2649,52001,2015,4369,63353.86,4773.9
267,2649,52001,2016,918,13549.69,967.5
268,2650,51537,2015,3391,52433.13,3510.55
269,2650,51537,2016,979,7754.07,529.19
270,2651,50677,2015,5394,75875.53,5537.84
271,2651,50677,2016,1321,20344.15,1312.63
272,2652,50401,2015,3579,44868.03,3479.16
273,2652,50401,2016,726,8924.69,703.55
274,2653,52353,2015,2846,41408.06,2869.82
275,2653,52353,2016,596,7685.36,469.65
276,2655,51632,2015,900,11721.06,896.52
277,2655,51632,2016,152,2175.17,148.12
278,2656,51632,2015,786,11880.54,777.06
279,2656,51632,2016,153,2240.16,181.28
280,2657,50833,2015,458,6130.51,466.28
281,2657,50833,2016,135,1794.5,145.9
282,2658,50854,2015,334,4328.83,390.0
283,2658,50854,2016,76,939.8,96.3
284,2660,51250,2015,1420,22505.22,1420.0
285,2660,51250,2016,367,5258.89,358.25
286,2661,51201,2015,3580,55649.93,3802.09
287,2661,51201,2016,513,6163.49,518.06
288,2662,52761,2015,3304,39203.4,2747.94
289,2662,52761,2016,761,8176.3,629.86
290,2663,50322,2015,11048,175203.29,10060.92
291,2663,50322,2016,2021,29703.65,1837.6
292,2665,50263,2015,8434,126233.84,7471.09
293,2665,50263,2016,2387,34855.47,2009.92
294,2667,51104,2015,718,8456.63,694.2
295,2667,51104,2016,260,3441.41,279.0
296,2668,50144,2015,288,3689.69,257.0
297,2668,50144,2016,49,750.7,55.75
298,2669,50060,2015,666,8603.63,691.75
299,2669,50060,2016,116,1664.79,120.75
300,2670,52241,2015,15072,227442.71,13869.95
301,2670,52241,2016,3684,54701.99,3485.43
302,2671,50129,2015,2539,37455.21,3122.0
303,2671,50129,2016,445,6660.76,438.5
304,2672,50273,2015,1597,22373.06,1536.25
305,2672,50273,2016,419,6222.72,456.0
306,2806,52732,2015,3224,41929.39,3154.41
307,2806,52732,2016,717,8024.42,738.87
308,2835,50613,2015,790,11751.32,991.5
309,2835,50613,2016,150,2625.54,220.5
310,2836,50703,2015,171,2330.58,206.37
311,2836,50703,2016,41,546.23,43.62
312,2837,50702,2015,622,7695.68,629.25
313,2837,50702,2016,98,1270.86,91.5
314,2838,52806,2015,377,5448.62,506.75
315,2838,52806,2016,39,750.78,49.25
316,2839,52804,2015,236,2662.88,295.5
317,2839,52804,2016,78,1154.31,79.5
318,2840,52722,2015,624,8174.06,697.0
319,2840,52722,2016,93,1210.53,97.75
320,2841,52403,2015,919,12938.88,1136.0
321,2841,52403,2016,150,1791.72,172.5
322,2843,52402,2015,640,9089.97,714.5
323,2843,52402,2016,143,1803.03,154.5
324,2844,52240,2015,643,8288.71,759.5
325,2844,52240,2016,174,2098.62,153.75
326,2845,51503,2015,270,3670.56,279.0
327,2845,51503,2016,30,536.88,34.5
328,2846,52404,2015,595,7393.12,705.87
329,2846,52404,2016,117,1684.0,126.62
330,2847,52302,2015,232,3106.47,312.0
331,2847,52302,2016,55,882.08,65.25
332,2849,50320,2015,171,2413.8,169.14
333,2849,50320,2016,30,495.84,34.5
334,2850,50313,2015,332,4111.51,307.25
335,2850,50313,2016,63,683.55,53.25
336,2851,50501,2015,285,3928.72,341.5
337,2851,50501,2016,47,765.61,52.25
338,2852,50310,2015,438,6190.65,477.5
339,2852,50310,2016,189,2673.52,167.5
340,2853,50014,2015,240,4100.43,251.25
341,2853,50014,2016,168,2744.26,212.0
342,2854,50323,2015,88,1360.56,112.0
343,2854,50323,2016,34,572.91,23.25
344,2951,50322,2015,169,1529.4,126.0
345,2953,50316,2015,506,3758.06,373.56
346,2955,50310,2015,563,5796.19,490.5
347,2958,50317,2015,191,1814.86,187.7
348,2959,50310,2015,724,8619.44,674.0
349,2961,50265,2015,38,592.58,28.0
350,2962,50131,2015,312,4239.01,362.0
351,2963,50325,2015,312,4478.6,273.75
352,3013,52537,2015,869,11152.82,902.75
353,3013,52537,2016,184,2044.7,174.0
354,3041,50054,2015,782,8266.29,783.98
355,3041,50054,2016,190,1852.32,182.75
356,3045,50423,2015,724,9200.93,942.5
357,3045,50423,2016,125,1538.62,154.0
358,3054,50112,2015,777,12569.81,733.39
359,3054,50112,2016,101,1713.0,90.0
360,3056,50525,2015,527,7059.64,588.25
361,3056,50525,2016,112,1402.46,119.25
362,3065,50171,2015,591,7227.66,621.0
363,3065,50171,2016,102,1565.13,104.25
364,3162,52761,2015,2031,21519.65,2055.0
365,3162,52761,2016,449,4900.64,470.75
366,3354,52807,2015,13737,240365.94,16506.75
367,3354,52807,2016,4224,55227.36,4773.0
368,3385,52402,2015,27363,441983.55,31563.0
369,3385,52402,2016,4374,64605.54,4669.5
370,3390,51351,2015,9482,134773.7,9740.31
371,3390,51351,2016,1233,16669.54,1360.56
372,3393,50466,2015,183,2334.69,199.5
373,3393,50466,2016,36,519.54,58.5
374,3400,50317,2015,4823,40290.75,2658.62
375,3400,50317,2016,1148,8731.68,608.4
376,3403,52738,2015,847,9874.08,671.65
377,3403,52738,2016,163,1796.13,136.37
378,3417,52301,2015,2162,31323.68,2655.5
379,3417,52301,2016,550,9450.35,683.88
380,3420,50311,2015,20868,352020.66,25143.0
381,3420,50311,2016,2916,50555.4,3513.0
382,3437,50211,2015,1723,20389.68,1737.0
383,3440,50309,2015,273,969.71,85.95
384,3443,51503,2015,4210,53834.76,4258.46
385,3443,51503,2016,689,7672.15,698.9
386,3447,51106,2015,11005,187650.04,13082.5
387,3447,51106,2016,4020,75557.88,5169.0
388,3451,52742,2015,525,6950.28,748.5
389,3456,50428,2015,5078,69189.36,4788.19
390,3456,50428,2016,958,11640.67,892.58
391,3461,50250,2015,1037,11754.24,1095.29
392,3461,50250,2016,305,3686.68,310.87
393,3465,50216,2015,816,10693.32,917.5
394,3465,50216,2016,144,2019.61,175.0
395,3477,51501,2015,7386,129421.86,9688.5
396,3477,51501,2016,2220,53213.22,2682.0
397,3484,51035,2015,313,4020.39,344.25
398,3484,51035,2016,54,754.51,67.25
399,3488,52031,2015,1411,18743.79,1481.1
400,3488,52031,2016,280,3589.47,333.0
401,3494,50702,2015,9594,140733.54,11827.5
402,3494,50702,2016,2448,37618.68,2514.0
403,3495,52310,2015,2782,33418.48,2661.11
404,3495,52310,2016,676,8333.4,624.64
405,3514,50501,2015,2212,35085.4,2268.02
406,3514,50501,2016,470,7361.75,463.34
407,3521,51501,2015,1492,40893.92,1718.25
408,3521,51501,2016,258,6033.58,255.75
409,3524,50010,2015,10356,180805.62,12190.5
410,3524,50010,2016,1248,22000.98,1761.0
411,3525,52353,2015,3678,53040.25,3483.09
412,3525,52353,2016,1197,10531.06,786.18
413,3528,50401,2015,896,16048.96,901.6
414,3528,50401,2016,180,3580.8,172.5
415,3529,51012,2015,452,5886.54,399.91
416,3540,52807,2015,1265,20284.2,1192.2
417,3540,52807,2016,204,3393.9,194.55
418,3542,50472,2015,814,11801.35,987.25
419,3542,50472,2016,276,3924.64,328.25
420,3549,52627,2015,2101,33613.37,2266.12
421,3549,52627,2016,377,4082.22,299.1
422,3562,52655,2015,4488,65389.26,5116.5
423,3562,52655,2016,966,12647.04,1060.5
424,3563,52761,2015,2984,41926.36,3200.0
425,3563,52761,2016,636,9580.02,738.0
426,3565,52246,2015,1456,18306.77,1265.89
427,3565,52246,2016,288,3551.49,225.83
428,3573,52501,2015,4715,68700.69,4313.9
429,3573,52501,2016,1161,16629.66,1026.59
430,3576,51346,2015,771,10351.74,1049.9
431,3576,51346,2016,123,1147.87,133.5
432,3582,50144,2015,133,2169.62,174.0
433,3582,50144,2016,45,780.45,54.75
434,3584,50662,2015,2084,27413.67,2271.53
435,3584,50662,2016,796,12768.78,1001.45
436,3587,52632,2015,294,3002.46,310.5
437,3587,52632,2016,48,486.96,60.0
438,3591,50601,2015,198,2602.0,225.5
439,3591,50601,2016,93,1583.75,101.75
440,3592,50501,2015,3564,51327.84,4039.5
441,3592,50501,2016,828,11605.5,969.0
442,3606,50638,2015,620,7716.58,596.0
443,3606,50638,2016,195,2429.22,178.25
444,3611,51546,2015,528,6407.76,607.5
445,3611,51546,2016,120,1489.8,129.0
446,3612,52060,2015,4512,53379.84,4128.83
447,3612,52060,2016,1200,14883.53,1074.46
448,3618,52404,2015,4560,64153.98,5262.0
449,3618,52404,2016,780,10614.54,918.0
450,3621,51201,2015,2436,31043.53,2562.93
451,3621,51201,2016,516,6139.25,478.73
452,3622,51360,2015,2706,41171.16,3274.5
453,3622,51360,2016,474,7796.4,613.5
454,3624,50208,2015,1158,17259.12,1306.5
455,3624,50208,2016,222,3028.44,232.5
456,3625,50021,2015,3358,50447.76,3958.5
457,3625,50021,2016,786,11230.26,859.5
458,3626,51301,2015,2262,31938.6,2842.5
459,3626,51301,2016,420,6007.02,507.0
460,3628,52402,2015,2900,41480.04,3219.0
461,3628,52402,2016,534,7352.28,601.5
462,3629,51503,2015,3282,45812.04,3709.5
463,3629,51503,2016,726,10636.44,745.5
464,3631,50025,2015,731,8754.68,797.25
465,3632,52003,2015,2898,40977.9,3184.5
466,3632,52003,2016,696,10153.38,756.0
467,3635,50212,2015,517,6219.91,507.75
468,3635,50212,2016,78,1278.79,92.5
469,3644,50009,2015,3984,59082.3,4272.0
