,zip,primary_city,county,state,County#
881,52334,SOUTH AMANA,Iowa,IA,48
882,52335,SOUTH ENGLISH,Keokuk,IA,54
883,52336,SPRINGVILLE,Linn,IA,57
884,52337,STANWOOD,Cedar,IA,16
885,52338,SWISHER,Johnson,IA,52
886,52339,TAMA,Tama,IA,86
887,52340,TIFFIN,Johnson,IA,52
888,52341,TODDVILLE,Linn,IA,57
889,52342,TOLEDO,Tama,IA,86
890,52344,TROY MILLS,Linn,IA,57
891,52345,URBANA,Benton,IA,6
892,52346,VAN HORNE,Benton,IA,6
893,52347,VICTOR,Iowa,IA,48
894,52348,VINING,Tama,IA,86
895,52349,VINTON,Benton,IA,6
896,52350,VIOLA,Linn,IA,57
897,52351,WALFORD,Benton,IA,6
898,52352,WALKER,Linn,IA,57
899,52353,WASHINGTON,Washington,IA,92
900,52354,WATKINS,Benton,IA,6
901,52355,WEBSTER,Keokuk,IA,54
902,52356,WELLMAN,Washington,IA,92
903,52358,WEST BRANCH,Cedar,IA,16
904,52359,WEST CHESTER,Washington,IA,92
905,52361,WILLIAMSBURG,Iowa,IA,48
906,52362,WYOMING,Jones,IA,53
907,52401,CEDAR RAPIDS,Linn,IA,57
908,52402,CEDAR RAPIDS,Linn,IA,57
909,52403,CEDAR RAPIDS,Linn,IA,57
910,52404,CEDAR RAPIDS,Linn,IA,57
911,52405,CEDAR RAPIDS,Linn,IA,57
912,52406,CEDAR RAPIDS,Linn,IA,57
913,52407,CEDAR RAPIDS,Linn,IA,57
914,52408,CEDAR RAPIDS,Linn,IA,57
915,52409,CEDAR RAPIDS,Linn,IA,57
916,52410,CEDAR RAPIDS,Linn,IA,57
917,52411,CEDAR RAPIDS,Linn,IA,57
918,52497,CEDAR RAPIDS,Linn,IA,57
919,52498,CEDAR RAPIDS,Linn,IA,57
920,52499,CEDAR RAPIDS,Linn,IA,57
921,52501,OTTUMWA,Wapello,IA,90
922,52530,AGENCY,Wapello,IA,90
923,52531,ALBIA,Monroe,IA,68
924,52533,BATAVIA,Jefferson,IA,51
925,52534,BEACON,Mahaska,IA,62
926,52535,BIRMINGHAM,Van Buren,IA,89
927,52536,BLAKESBURG,Wapello,IA,90
928,52537,BLOOMFIELD,Davis,IA,26
929,52538,WEST GROVE,Davis,IA,26
930,52540,BRIGHTON,Jefferson,IA,51
931,52542,CANTRIL,Van Buren,IA,89
932,52543,CEDAR,Mahaska,IA,62
933,52544,CENTERVILLE,Appanoose,IA,4
934,52548,CHILLICOTHE,Wapello,IA,90
935,52549,CINCINNATI,Appanoose,IA,4
936,52550,DELTA,Keokuk,IA,54
937,52551,DOUDS,Van Buren,IA,89
938,52552,DRAKESVILLE,Davis,IA,26
939,52553,EDDYVILLE,Wapello,IA,90
940,52554,ELDON,Wapello,IA,90
941,52555,EXLINE,Appanoose,IA,4
942,52556,FAIRFIELD,Jefferson,IA,51
943,52557,FAIRFIELD,Jefferson,IA,51
944,52560,FLORIS,Davis,IA,26
945,52561,FREMONT,Mahaska,IA,62
946,52562,HAYESVILLE,Keokuk,IA,54
947,52563,HEDRICK,Keokuk,IA,54
948,52565,KEOSAUQUA,Van Buren,IA,89
949,52566,KIRKVILLE,Wapello,IA,90
950,52567,LIBERTYVILLE,Jefferson,IA,51
951,52568,MARTINSBURG,Keokuk,IA,54
952,52569,MELROSE,Monroe,IA,68
953,52570,MILTON,Van Buren,IA,89
954,52571,MORAVIA,Appanoose,IA,4
955,52572,MOULTON,Appanoose,IA,4
956,52573,MOUNT STERLING,Van Buren,IA,89
957,52574,MYSTIC,Appanoose,IA,4
958,52576,OLLIE,Keokuk,IA,54
959,52577,OSKALOOSA,Mahaska,IA,62
960,52580,PACKWOOD,Jefferson,IA,51
961,52581,PLANO,Appanoose,IA,4
962,52583,PROMISE CITY,Wayne,IA,93
963,52584,PULASKI,Davis,IA,26
964,52585,RICHLAND,Keokuk,IA,54
965,52586,ROSE HILL,Mahaska,IA,62
966,52588,SELMA,Van Buren,IA,89
967,52590,SEYMOUR,Wayne,IA,93
968,52591,SIGOURNEY,Keokuk,IA,54
969,52593,UDELL,Appanoose,IA,4
970,52594,UNIONVILLE,Appanoose,IA,4
971,52595,UNIVERSITY PARK,Mahaska,IA,62
972,52601,BURLINGTON,Des Moines,IA,29
973,52619,ARGYLE,Lee,IA,56
974,52620,BONAPARTE,Van Buren,IA,89
975,52621,CRAWFORDSVILLE,Washington,IA,92
976,52623,DANVILLE,Des Moines,IA,29
977,52624,DENMARK,Lee,IA,56
978,52625,DONNELLSON,Lee,IA,56
979,52626,FARMINGTON,Van Buren,IA,89
980,52627,FORT MADISON,Lee,IA,56
981,52630,HILLSBORO,Henry,IA,44
982,52631,HOUGHTON,Lee,IA,56
983,52632,KEOKUK,Lee,IA,56
984,52635,LOCKRIDGE,Jefferson,IA,51
985,52637,MEDIAPOLIS,Des Moines,IA,29
986,52638,MIDDLETOWN,Des Moines,IA,29
987,52639,MONTROSE,Lee,IA,56
988,52640,MORNING SUN,Louisa,IA,58
989,52641,MOUNT PLEASANT,Henry,IA,44
990,52642,ROME,Henry,IA,44
991,52644,MOUNT UNION,Henry,IA,44
992,52645,NEW LONDON,Henry,IA,44
993,52646,OAKVILLE,Louisa,IA,58
994,52647,OLDS,Henry,IA,44
995,52648,PILOT GROVE,Lee,IA,56
996,52649,SALEM,Henry,IA,44
997,52650,SPERRY,Des Moines,IA,29
998,52651,STOCKPORT,Van Buren,IA,89
999,52652,SWEDESBURG,Henry,IA,44
1000,52653,WAPELLO,Louisa,IA,58
1001,52654,WAYLAND,Henry,IA,44
1002,52655,WEST BURLINGTON,Des Moines,IA,29
1003,52656,WEST POINT,Lee,IA,56
1004,52657,SAINT PAUL,Lee,IA,56
1005,52658,WEVER,Lee,IA,56
1006,52659,WINFIELD,Henry,IA,44
1007,52660,YARMOUTH,Des Moines,IA,29
1008,52701,ANDOVER,Clinton,IA,23
1009,52720,ATALISSA,Muscatine,IA,70
1010,52721,BENNETT,Cedar,IA,16
1011,52722,BETTENDORF,Scott,IA,82
1012,52726,BLUE GRASS,Scott,IA,82
1013,52727,BRYANT,Clinton,IA,23
1014,52728,BUFFALO,Scott,IA,82
1015,52729,CALAMUS,Clinton,IA,23
1016,52730,CAMANCHE,Clinton,IA,23
1017,52731,CHARLOTTE,Clinton,IA,23
1018,52732,CLINTON,Clinton,IA,23
1019,52733,CLINTON,Clinton,IA,23
1020,52734,CLINTON,Clinton,IA,23
1021,52736,CLINTON,Clinton,IA,23
1022,52737,COLUMBUS CITY,Louisa,IA,58
1023,52738,COLUMBUS JUNCTION,Louisa,IA,58
1024,52739,CONESVILLE,Muscatine,IA,70
1025,52742,DE WITT,Clinton,IA,23
1026,52745,DIXON,Scott,IA,82
1027,52746,DONAHUE,Scott,IA,82
1028,52747,DURANT,Cedar,IA,16
1029,52748,ELDRIDGE,Scott,IA,82
1030,52749,FRUITLAND,Muscatine,IA,70
1031,52750,GOOSE LAKE,Clinton,IA,23
1032,52751,GRAND MOUND,Clinton,IA,23
1033,52752,GRANDVIEW,Louisa,IA,58
1034,52753,LE CLAIRE,Scott,IA,82
1035,52754,LETTS,Muscatine,IA,70
1036,52755,LONE TREE,Johnson,IA,52
1037,52756,LONG GROVE,Scott,IA,82
1038,52757,LOW MOOR,Clinton,IA,23
1039,52758,MC CAUSLAND,Scott,IA,82
1040,52759,MONTPELIER,Muscatine,IA,70
1041,52760,MOSCOW,Muscatine,IA,70
1042,52761,MUSCATINE,Muscatine,IA,70
1043,52765,NEW LIBERTY,Scott,IA,82
1044,52766,NICHOLS,Muscatine,IA,70
1045,52767,PLEASANT VALLEY,Scott,IA,82
1046,52768,PRINCETON,Scott,IA,82
1047,52769,STOCKTON,Muscatine,IA,70
1048,52771,TEEDS GROVE,Clinton,IA,23
1049,52772,TIPTON,Cedar,IA,16
1050,52773,WALCOTT,Scott,IA,82
1051,52774,WELTON,Clinton,IA,23
