,zip,primary_city,county,state,County#
291,50456,MANLY,Worth,IA,98
292,50457,MESERVEY,Cerro Gordo,IA,17
293,50458,NORA SPRINGS,Floyd,IA,34
294,50459,NORTHWOOD,Worth,IA,98
295,50460,ORCHARD,Mitchell,IA,66
296,50461,OSAGE,Mitchell,IA,66
297,50464,PLYMOUTH,Cerro Gordo,IA,17
298,50465,RAKE,Winnebago,IA,95
299,50466,RICEVILLE,Howard,IA,45
300,50467,ROCK FALLS,Cerro Gordo,IA,17
301,50468,ROCKFORD,Floyd,IA,34
302,50469,ROCKWELL,Cerro Gordo,IA,17
303,50470,ROWAN,Wright,IA,99
