,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
135,2561,50321,2016,1887,25529.8,1876.14
136,2562,50501,2015,4087,54966.77,5348.2
137,2562,50501,2016,1109,14998.9,1492.75
138,2564,50701,2015,3618,48879.54,3981.03
139,2564,50701,2016,768,10709.43,773.0
140,2565,51301,2015,5281,71542.43,5189.44
141,2565,51301,2016,1232,16250.33,1168.59
142,2566,50138,2015,2534,30363.02,2175.55
143,2566,50138,2016,509,6581.91,451.51
144,2567,52806,2015,3864,46398.91,4066.4
145,2567,52806,2016,826,9017.64,730.24
146,2568,52402,2015,3101,25844.42,2456.08
147,2568,52402,2016,868,7560.49,669.61
148,2569,52402,2015,3597,48675.15,3607.84
149,2569,52402,2016,820,12685.78,715.79
150,2571,50703,2015,6764,80618.12,5823.65
151,2571,50703,2016,1586,23275.92,1956.1
152,2572,50613,2015,6549,98831.43,6080.74
153,2572,50613,2016,1364,20714.1,1282.11
154,2573,52761,2015,7818,122362.25,8191.67
155,2573,52761,2016,1570,23330.04,1592.02
156,2575,50702,2015,1889,23572.2,1881.0
157,2575,50702,2016,274,3532.05,241.75
158,2576,50588,2015,3025,51268.32,3346.65
159,2576,50588,2016,664,9549.58,696.05
160,2578,50616,2015,4814,66903.18,5148.65
161,2578,50616,2016,1126,13808.11,1103.15
162,2579,50112,2015,2054,30280.1,1977.6
163,2579,50112,2016,401,6101.8,404.0
164,2582,50401,2015,6594,68202.92,5502.68
165,2582,50401,2016,1169,13852.41,1034.95
166,2584,52627,2015,3062,45631.0,3239.7
167,2584,52627,2016,549,8397.24,571.8
168,2585,50511,2015,4757,70885.9,5428.48
169,2585,50511,2016,1109,15130.15,1200.61
170,2587,50131,2015,5447,80916.32,5387.34
171,2587,50131,2016,1027,14472.58,962.11
172,2588,52403,2015,5627,92001.25,5842.38
173,2588,52403,2016,1062,15499.73,1109.21
174,2590,52402,2015,8879,121474.94,7987.13
175,2590,52402,2016,1732,24845.74,1528.57
176,2591,50022,2015,3458,49416.0,3497.37
177,2591,50022,2016,888,12428.5,868.7
178,2592,50158,2015,1239,15110.9,1378.42
179,2592,50158,2016,282,3701.45,386.62
180,2593,51401,2015,11973,191192.4,13403.82
181,2593,51401,2016,1642,21228.83,1593.93
182,2594,51106,2015,5091,73476.67,4828.17
183,2594,51106,2016,1220,19889.19,1280.17
184,2595,51442,2015,5853,76574.14,6750.82
185,2595,51442,2016,2109,29106.04,2906.26
186,2596,52501,2015,2493,30207.68,2737.63
187,2596,52501,2016,290,2842.62,257.79
188,2597,51012,2015,1560,18618.54,1590.95
189,2597,51012,2016,349,3825.26,351.75
190,2599,52241,2015,507,6683.73,445.65
191,2600,52577,2015,1652,20355.99,1712.25
192,2600,52577,2016,419,5323.43,433.25
193,2601,52556,2015,3714,55709.07,3457.66
194,2601,52556,2016,978,14308.5,935.69
195,2602,50595,2015,3878,50235.06,3943.12
196,2602,50595,2016,651,8628.68,588.29
197,2603,52722,2015,8759,132877.27,8458.7
198,2603,52722,2016,1615,24922.24,1550.99
199,2604,51031,2015,4043,53845.76,3794.87
200,2604,51031,2016,1040,14793.59,1083.8
201,2605,52402,2015,7836,95407.77,8283.86
202,2605,52402,2016,1470,20510.67,1587.85
203,2606,50548,2015,2836,38012.27,2697.27
204,2606,50548,2016,743,9454.32,809.2
205,2607,51601,2015,3455,46895.72,3355.13
206,2607,51601,2016,791,11693.51,819.19
207,2609,50010,2015,727,6466.98,471.9
208,2609,50010,2016,150,1458.07,84.8
209,2611,52501,2015,3175,36242.75,2620.59
210,2611,52501,2016,824,9593.03,801.59
211,2612,50220,2015,1854,22949.94,1754.1
212,2612,50220,2016,355,4203.26,315.6
213,2613,51501,2015,7018,87587.02,6059.8
214,2613,51501,2016,1816,26817.84,1751.35
215,2614,52807,2015,10051,142675.29,9868.23
216,2614,52807,2016,2723,36360.48,2955.61
217,2616,52732,2015,11349,154160.15,10585.88
218,2616,52732,2016,2771,35692.35,2592.91
219,2618,52402,2015,1843,21287.84,1711.99
220,2618,52402,2016,702,7701.0,559.64
221,2619,50266,2015,8680,143958.96,8575.07
222,2619,50266,2016,1903,28269.9,1723.61
223,2620,50311,2015,6631,97187.35,6589.11
224,2620,50311,2016,1083,15445.8,1112.56
225,2621,51105,2015,6502,80768.93,5850.95
226,2621,51105,2016,1614,20153.84,1557.62
227,2622,52240,2015,4612,74371.39,5053.06
228,2622,52240,2016,923,12703.5,792.29
229,2623,51104,2015,7483,105500.98,7127.52
230,2623,51104,2016,1127,15265.89,1064.98
231,2624,52002,2015,6843,92340.99,7576.48
232,2624,52002,2016,1486,18462.7,1223.96
233,2625,52804,2015,12368,181481.92,12015.67
234,2625,52804,2016,2684,39259.97,2725.91
235,2626,50311,2015,8337,89785.01,6020.27
236,2626,50311,2016,1589,18252.82,1190.66
237,2627,50310,2015,10737,84356.91,5552.31
238,2627,50310,2016,2118,18304.19,1154.03
239,2628,50627,2015,1186,14489.19,1265.5
240,2628,50627,2016,303,3230.97,317.25
241,2629,51503,2015,11731,184362.74,11871.8
242,2629,51503,2016,2213,34530.81,2171.85
243,2630,50266,2015,1546,20852.8,1369.73
244,2630,50266,2016,538,7638.75,757.5
245,2633,50320,2015,62827,997924.42,61831.75
246,2633,50320,2016,13734,217474.6,13925.5
247,2635,52807,2015,7195,109793.2,6728.43
248,2635,52807,2016,1304,19492.36,1268.1
249,2636,50317,2015,5393,71847.1,5135.82
250,2636,50317,2016,1382,11498.47,788.6
251,2637,52804,2015,6820,82748.32,6473.2
252,2637,52804,2016,1178,12461.28,954.3
253,2641,51501,2015,3124,26887.2,2015.53
254,2641,51501,2016,847,5759.12,488.7
255,2642,50219,2015,4467,64223.84,4401.71
256,2642,50219,2016,871,12475.27,859.07
257,2643,50701,2015,4704,74627.1,4867.97
258,2643,50701,2016,867,14575.4,748.33
259,2644,50501,2015,8687,127279.07,8051.78
260,2644,50501,2016,2049,27860.24,1906.6
261,2647,52411,2015,6745,113193.97,6584.19
262,2647,52411,2016,1311,20013.29,1370.84
263,2648,50265,2015,9345,158428.1,9284.07
264,2648,50265,2016,1915,33941.42,1760.85
265,2649,52001,2015,4369,63353.86,4773.9
266,2649,52001,2016,908,13278.23,960.0
267,2650,51537,2015,3391,52433.13,3510.55
268,2650,51537,2016,371,5401.75,378.74
269,2651,50677,2015,5388,75700.39,5533.34
270,2651,50677,2016,1320,20309.18,1311.88
271,2652,50401,2015,3579,44868.03,3479.16
272,2652,50401,2016,722,8864.69,700.55
273,2653,52353,2015,2838,40854.29,2834.57
274,2653,52353,2016,590,7527.86,465.15
275,2655,51632,2015,900,11721.06,896.52
276,2655,51632,2016,152,2175.17,148.12
277,2656,51632,2015,786,11880.54,777.06
278,2656,51632,2016,153,2240.16,181.28
279,2657,50833,2015,458,6130.51,466.28
280,2657,50833,2016,135,1794.5,145.9
281,2658,50854,2015,334,4328.83,390.0
282,2658,50854,2016,76,939.8,96.3
283,2660,51250,2015,1420,22505.22,1420.0
284,2660,51250,2016,365,5201.91,356.75
285,2661,51201,2015,3580,55649.93,3802.09
286,2661,51201,2016,513,6163.49,518.06
287,2662,52761,2015,3303,39124.65,2741.94
288,2662,52761,2016,754,8040.57,624.61
289,2663,50322,2015,10940,171383.33,9979.92
290,2663,50322,2016,1991,29361.83,1823.95
291,2665,50263,2015,8428,126114.56,7466.59
292,2665,50263,2016,2387,34855.47,2009.92
293,2667,51104,2015,718,8456.63,694.2
294,2667,51104,2016,258,3384.43,277.5
295,2668,50144,2015,288,3689.69,257.0
296,2668,50144,2016,49,750.7,55.75
297,2669,50060,2015,666,8603.63,691.75
298,2669,50060,2016,116,1664.79,120.75
299,2670,52241,2015,15057,227060.96,13858.7
300,2670,52241,2016,3657,54295.61,3469.68
301,2671,50129,2015,2539,37455.21,3122.0
302,2671,50129,2016,438,6508.03,432.5
303,2672,50273,2015,1597,22373.06,1536.25
304,2672,50273,2016,419,6222.72,456.0
305,2806,52732,2015,3224,41929.39,3154.41
306,2806,52732,2016,717,8024.42,738.87
307,2835,50613,2015,790,11751.32,991.5
308,2835,50613,2016,150,2625.54,220.5
309,2836,50703,2015,171,2330.58,206.37
310,2836,50703,2016,41,546.23,43.62
311,2837,50702,2015,622,7695.68,629.25
312,2837,50702,2016,98,1270.86,91.5
313,2838,52806,2015,377,5448.62,506.75
314,2838,52806,2016,39,750.78,49.25
315,2839,52804,2015,236,2662.88,295.5
316,2839,52804,2016,78,1154.31,79.5
317,2840,52722,2015,624,8174.06,697.0
318,2840,52722,2016,92,1189.74,97.0
319,2841,52403,2015,919,12938.88,1136.0
320,2841,52403,2016,150,1791.72,172.5
321,2843,52402,2015,640,9089.97,714.5
322,2843,52402,2016,143,1803.03,154.5
323,2844,52240,2015,643,8288.71,759.5
324,2844,52240,2016,174,2098.62,153.75
