,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
628,50315,20,4349,2015,1564,13371.52,697.79,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
629,50315,20,4478,2015,2553,21716.41,1626.13,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
631,50315,20,4597,2015,1570,9467.18,683.75,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
633,50315,20,4641,2015,747,6399.49,491.05,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
635,50315,20,4889,2015,224,1479.26,125.52,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
636,50315,20,5132,2015,963,6692.78,464.21,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
638,50315,20,5145,2015,2262,20224.81,1148.84,50315,35854.0,39457.0,17857.0,32068.0,1082.0,149.0,832.0,14.0,1011.0,698.0,2281.0,34.1,2639.0,6445.0,1347.0,2074.0,5878.0,5649.0,4556.0,1626.0,1300.0,2340.0,1547.0,453.0,70.4,9327.0,77400.0,15088.0,9835.0,4631.0,14466.0,9350.0,6789.0,1907.0,5116.0,4097.0,2.44,2.99,35273.0,82.6,12.4,18157.0,25423.0,907.85,1271.15
640,50316,12,2953,2015,506,3758.06,373.56,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
641,50316,12,3825,2015,2977,18004.38,1119.0,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
643,50316,12,4012,2015,343,1956.64,122.87,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
644,50316,12,4057,2015,4960,45577.42,2238.1,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
646,50316,12,4797,2015,488,6645.9,474.0,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
648,50316,12,5125,2015,3609,36959.06,3620.35,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
650,50316,12,5131,2015,1730,16564.99,716.6,50316,16381.0,32129.0,14360.0,11059.0,2581.0,86.0,1053.0,10.0,1114.0,478.0,1938.0,32.4,1359.0,3349.0,759.0,896.0,2465.0,2494.0,1960.0,626.0,494.0,874.0,730.0,375.0,67.2,3710.0,61500.0,6359.0,3935.0,2010.0,5945.0,3802.0,2358.0,1072.0,2143.0,1750.0,2.66,3.3,16032.0,72.8,10.8,7815.0,10914.0,651.25,909.5
652,50317,39,2532,2015,4666,53207.99,4254.25,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
654,50317,39,2536,2015,4933,68373.24,4680.93,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
656,50317,39,2636,2015,5417,72498.46,5153.82,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
658,50317,39,2958,2015,191,1814.86,187.7,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
659,50317,39,3400,2015,4823,40290.75,2658.62,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
661,50317,39,4169,2015,1032,7964.19,542.05,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
663,50317,39,4273,2015,1794,15828.33,1016.18,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
665,50317,39,4295,2015,870,7048.7,494.28,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
667,50317,39,4433,2015,380,3449.05,273.51,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
669,50317,39,4511,2015,841,7234.45,415.98,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
671,50317,39,4596,2015,918,5217.69,362.35,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
673,50317,39,4598,2015,765,4811.59,270.74,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
675,50317,39,4599,2015,1610,10102.94,648.93,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
677,50317,39,4600,2015,705,6145.42,541.35,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
679,50317,39,4601,2015,408,4157.68,295.53,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
681,50317,39,4617,2015,3428,31499.62,1830.56,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
683,50317,39,4795,2015,798,11174.28,850.5,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
685,50317,39,4799,2015,201,2620.35,207.75,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
687,50317,39,4974,2015,665,4640.72,272.54,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
689,50317,39,5057,2015,397,4258.48,274.47,50317,40843.0,40316.0,18321.0,37777.0,812.0,107.0,816.0,19.0,745.0,567.0,1605.0,36.2,2950.0,7428.0,1517.0,1932.0,5869.0,6371.0,5670.0,2158.0,1779.0,2807.0,1761.0,601.0,69.5,11567.0,75900.0,16444.0,12436.0,3359.0,15795.0,11101.0,8434.0,1926.0,4694.0,3780.0,2.56,3.02,40369.0,80.8,10.3,19842.0,28948.0,508.769230769,742.256410256
693,50320,18,2849,2015,171,2413.8,169.14,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
695,50320,18,3678,2015,1381,17220.56,1019.7,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
697,50320,18,4141,2015,777,9301.01,1061.25,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
699,50320,18,4301,2015,2283,23161.42,1043.92,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
701,50320,18,4603,2015,443,4377.87,276.25,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
703,50320,18,4622,2015,919,6058.57,407.0,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
705,50320,18,4798,2015,282,4334.52,259.5,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
707,50320,18,4800,2015,315,3408.78,299.25,50320,15271.0,42079.0,19010.0,12785.0,839.0,28.0,601.0,6.0,725.0,287.0,1549.0,31.0,1570.0,2897.0,602.0,937.0,2760.0,2409.0,1758.0,673.0,545.0,723.0,333.0,64.0,75.4,2802.0,99700.0,6082.0,4029.0,1762.0,5791.0,4123.0,3056.0,785.0,1668.0,1272.0,2.64,3.08,15343.0,83.7,17.1,7864.0,10202.0,436.888888889,566.777777778
711,50321,10,4186,2015,949,6243.89,439.98,50321,7607.0,55275.0,29373.0,6927.0,280.0,27.0,115.0,11.0,149.0,98.0,278.0,33.9,452.0,1253.0,651.0,538.0,1018.0,1038.0,1107.0,406.0,330.0,467.0,297.0,50.0,78.9,1557.0,149800.0,3322.0,1991.0,1035.0,3026.0,1924.0,1560.0,261.0,1102.0,810.0,2.39,2.93,7122.0,91.0,37.4,3701.0,5251.0,370.1,525.1
713,50321,10,4595,2015,726,4187.69,298.9,50321,7607.0,55275.0,29373.0,6927.0,280.0,27.0,115.0,11.0,149.0,98.0,278.0,33.9,452.0,1253.0,651.0,538.0,1018.0,1038.0,1107.0,406.0,330.0,467.0,297.0,50.0,78.9,1557.0,149800.0,3322.0,1991.0,1035.0,3026.0,1924.0,1560.0,261.0,1102.0,810.0,2.39,2.93,7122.0,91.0,37.4,3701.0,5251.0,370.1,525.1
715,50321,10,4796,2015,198,2723.22,178.5,50321,7607.0,55275.0,29373.0,6927.0,280.0,27.0,115.0,11.0,149.0,98.0,278.0,33.9,452.0,1253.0,651.0,538.0,1018.0,1038.0,1107.0,406.0,330.0,467.0,297.0,50.0,78.9,1557.0,149800.0,3322.0,1991.0,1035.0,3026.0,1924.0,1560.0,261.0,1102.0,810.0,2.39,2.93,7122.0,91.0,37.4,3701.0,5251.0,370.1,525.1
717,50321,10,5129,2015,1580,19512.2,1605.75,50321,7607.0,55275.0,29373.0,6927.0,280.0,27.0,115.0,11.0,149.0,98.0,278.0,33.9,452.0,1253.0,651.0,538.0,1018.0,1038.0,1107.0,406.0,330.0,467.0,297.0,50.0,78.9,1557.0,149800.0,3322.0,1991.0,1035.0,3026.0,1924.0,1560.0,261.0,1102.0,810.0,2.39,2.93,7122.0,91.0,37.4,3701.0,5251.0,370.1,525.1
721,50322,34,2951,2015,169,1529.4,126.0,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
722,50322,34,3691,2015,1690,28984.64,1676.1,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
724,50322,34,3762,2015,1997,28823.1,1817.06,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
726,50322,34,3877,2015,760,14305.82,762.6,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
728,50322,34,4131,2015,1073,15754.21,1021.75,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
730,50322,34,4446,2015,1285,9368.6,510.85,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
732,50322,34,4447,2015,623,3984.53,322.9,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
734,50322,34,4448,2015,304,2901.94,165.84,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
736,50322,34,4449,2015,267,2874.88,211.28,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
738,50322,34,4733,2015,492,5596.2,436.2,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
740,50322,34,4734,2015,756,8452.14,687.0,50322,32943.0,57297.0,27769.0,31266.0,544.0,31.0,573.0,30.0,180.0,319.0,581.0,37.2,2158.0,6202.0,985.0,1332.0,4609.0,5774.0,4998.0,1710.0,1281.0,2158.0,1316.0,420.0,76.0,9505.0,126900.0,13725.0,10234.0,3106.0,13340.0,9085.0,7803.0,978.0,4255.0,3461.0,2.45,2.99,32488.0,96.1,42.1,16713.0,23598.0,491.558823529,694.058823529
