,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
23,50009,18,4135,2015,1482,23304.54,1676.0,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
25,50009,18,4695,2015,241,3279.84,252.75,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
27,50009,18,4819,2015,2016,12318.8,913.27,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
29,50009,18,4919,2015,389,3954.84,285.51,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
35,50010,42,2609,2015,727,6466.98,471.9,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
39,50010,42,3866,2015,728,12133.42,704.7,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
41,50010,42,4004,2015,2910,41235.72,3094.5,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
43,50010,42,4015,2015,2020,28580.48,2370.0,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
45,50010,42,4102,2015,1210,14778.5,1519.0,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
47,50010,42,4103,2015,1164,17187.79,1165.2,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
