Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+
50039,371,"35,750","20,969",364,1,0,1,0,0,5,5,41.2,19,70,14,9,36,68,75,25,9,18,22,6,78.4%,67,"$60,800",153,117,31,148,105,89,8,43,34,2.51,2.96,376,90.2%,5.3%
50040,223,"37,292","18,594",223,0,0,0,0,0,0,1,44.9,9,39,5,1,26,32,25,21,15,30,17,3,60.9%,81,"$38,100",111,91,15,106,67,55,10,39,37,2.1,2.67,219,90.6%,8.2%
50041,123,"36,071","12,224",121,1,0,0,0,1,0,0,42.8,3,20,3,5,16,21,15,11,11,13,5,0,92.9%,36,"$25,000",56,41,14,55,36,31,2,19,17,2.24,2.78,148,100.0%,12.9%
50042,375,"27,065","16,080",374,0,1,0,0,0,0,2,41.3,30,76,8,11,29,57,46,11,18,51,36,2,63.0%,66,"$33,800",164,119,29,148,110,101,7,38,33,2.53,2.99,363,77.9%,5.5%
50044,"1,084","33,403","19,236","1,069",0,1,3,0,0,11,2,38.1,59,228,41,45,113,167,150,73,38,97,56,17,66.4%,205,"$50,200",459,349,75,424,311,252,29,113,104,2.56,3.02,"1,122",82.5%,5.4%
50046,"1,390","46,912","20,057","1,347",9,3,6,0,5,20,24,36.0,102,277,47,61,186,240,197,74,55,81,54,16,73.4%,292,"$88,500",545,440,81,521,383,330,39,138,103,2.67,3.09,"1,367",93.4%,21.1%
50047,"5,092","49,028","20,728","4,985",12,15,19,2,20,39,58,37.2,364,985,198,192,645,777,798,245,230,339,230,89,69.1%,"1,160","$98,400","2,009","1,566",373,"1,939","1,448","1,217",181,491,407,2.58,3,"4,959",83.8%,19.3%
50048,973,"36,776","15,939",961,0,0,0,0,9,3,20,40.7,60,181,31,25,89,166,129,48,48,103,76,17,67.0%,212,"$40,300",445,311,86,397,281,242,25,116,97,2.45,2.93,"1,027",86.3%,8.8%
50049,"6,859","30,569","15,237","6,748",7,9,21,0,28,46,60,39.9,423,1334,253,252,709,940,865,369,344,624,471,275,62.0%,"1,537","$54,100","3,065","2,109",655,"2,764","1,826","1,526",219,938,824,2.41,3,"6,646",78.6%,12.3%
50050,794,"27,938","15,791",792,2,0,0,0,0,0,1,44.1,46,152,25,23,59,111,108,47,48,85,74,16,54.7%,192,"$29,200",375,254,78,332,235,208,19,97,95,2.39,2.94,845,88.0%,14.7%
50051,323,"45,263","19,699",316,2,0,0,0,2,3,4,40.1,15,60,12,10,42,49,54,13,18,23,23,4,68.0%,70,"$35,800",149,108,25,133,96,78,13,37,28,2.43,2.84,298,85.9%,7.0%
50052,175,"27,000","14,076",174,0,0,0,0,0,1,3,50.3,8,25,8,3,12,18,28,9,12,26,22,4,57.8%,38,"$18,800",86,64,10,74,56,49,3,18,17,2.36,2.75,197,80.3%,14.2%
50054,"3,627","41,425","18,941","3,558",11,11,4,0,16,27,45,36.6,234,798,109,154,426,620,493,181,157,268,141,46,71.8%,832,"$80,900","1,465","1,117",246,"1,363",999,859,87,364,323,2.6,3.09,"3,652",87.0%,13.8%
50055,952,"40,560","19,058",943,1,0,1,0,1,6,5,40.4,67,167,42,25,110,141,146,44,43,89,63,15,65.4%,221,"$77,900",410,301,78,379,275,245,18,104,89,2.51,2.95,898,88.5%,7.2%
50056,"1,484","41,033","19,441","1,456",8,3,6,0,3,8,3,36.2,93,321,52,70,176,255,207,50,52,115,74,19,73.7%,339,"$81,800",587,465,96,561,421,371,32,140,114,2.65,3.05,"1,501",93.9%,20.4%
50057,217,"35,000","14,233",209,0,0,0,0,0,8,0,36.1,19,38,11,11,28,32,27,7,12,21,9,2,57.7%,45,"$38,900",88,68,14,82,61,57,3,21,17,2.65,3.08,229,80.8%,4.0%
50058,"2,061","33,854","16,948","2,036",8,2,3,0,7,5,33,41.8,107,392,84,70,168,317,262,115,104,202,157,83,62.4%,450,"$59,800",896,617,218,835,556,482,49,279,249,2.41,3.01,"2,010",83.5%,14.0%
50059,14,"28,750","10,135",14,0,0,0,0,0,0,0,52.0,0,3,0,1,1,1,2,0,1,2,3,0,100.0%,7,"$45,000",11,7,0,7,5,3,1,2,2,2,2.2,23,100.0%,0.0%
50060,"2,605","30,086","17,482","2,580",3,1,2,2,4,13,10,44.5,125,478,74,74,203,365,314,153,130,274,269,146,59.0%,599,"$46,100","1,252",850,252,"1,102",738,634,66,364,342,2.28,2.83,"2,472",84.8%,15.9%
50061,"1,217","73,309","40,901","1,195",4,4,8,0,0,6,7,39.3,73,230,50,59,93,237,242,70,53,70,27,13,75.1%,277,"$186,200",460,393,42,435,361,327,17,74,57,2.69,2.95,"1,148",94.9%,37.3%
50062,"1,650","36,941","15,743","1,628",2,1,5,1,1,12,3,39.4,82,365,54,55,173,238,229,81,84,158,102,29,60.8%,440,"$53,800",699,566,81,647,471,389,55,176,158,2.55,3.04,"1,634",76.9%,5.7%
50063,"2,621","52,990","20,176","2,588",7,4,5,0,12,5,17,39.2,159,545,88,65,236,492,385,121,107,178,158,87,69.5%,640,"$107,700",961,748,178,926,708,632,56,218,193,2.67,3.11,"2,437",87.1%,19.8%
50064,151,"32,188","14,033",149,0,0,0,0,0,2,7,32.5,14,30,6,11,18,29,15,6,6,4,10,2,70.0%,21,"$20,600",64,40,16,56,41,29,3,15,13,2.7,3.1,126,85.5%,8.4%
50065,618,"28,750","14,460",605,2,3,1,0,2,5,9,39.3,45,125,16,32,56,90,72,42,36,54,36,14,63.9%,107,"$21,400",287,195,48,243,176,144,21,67,61,2.51,2.99,597,78.5%,9.8%
50066,333,"35,833","20,607",327,0,0,0,0,2,4,2,39.3,14,82,14,5,34,49,48,22,17,25,17,6,59.3%,69,"$55,000",141,109,21,130,98,84,5,32,29,2.56,3,278,89.8%,8.7%
50067,312,"26,042","13,904",307,0,0,0,0,3,2,2,37.8,18,71,5,13,41,51,41,18,16,19,15,4,75.4%,53,"$34,600",157,108,25,133,79,68,10,54,49,2.35,3.15,294,77.0%,1.0%
50068,390,"34,286","12,815",386,0,0,0,0,2,2,5,39.0,24,84,12,9,45,56,45,24,30,39,14,8,63.4%,58,"$45,000",172,125,23,148,105,88,10,43,38,2.64,3.19,360,73.4%,7.9%
50069,"1,008","48,882","17,447","1,000",0,1,2,0,1,4,7,33.5,93,199,33,48,157,169,146,55,36,51,20,1,80.1%,206,"$87,800",400,322,51,373,283,244,31,90,65,2.7,3.1,"1,015",92.8%,13.3%
50070,"1,514","42,118","18,502","1,489",2,5,13,0,2,3,8,39.6,105,284,44,29,178,256,220,75,79,136,84,24,67.6%,359,"$76,300",682,507,92,599,439,389,33,160,134,2.53,2.93,"1,501",89.2%,17.0%
50071,"1,249","32,262","16,836","1,172",0,1,7,0,65,4,99,44.9,50,194,46,33,131,172,190,79,64,132,109,49,61.4%,295,"$35,200",602,405,132,537,351,303,36,186,171,2.26,2.78,"1,193",84.9%,12.4%
50072,"2,398","48,696","21,533","2,364",5,5,6,0,2,16,20,35.8,191,498,69,79,332,416,317,106,89,145,109,47,75.1%,466,"$97,000",936,724,163,887,677,602,51,210,183,2.67,3.1,"2,426",90.7%,17.3%
50073,795,"42,212","23,483",786,5,1,1,0,0,2,5,39.0,50,120,35,43,103,140,114,35,31,58,49,17,68.0%,125,"$90,400",343,258,71,329,226,197,21,103,86,2.42,2.91,720,90.6%,17.7%
50074,452,"33,036","19,191",450,1,0,0,0,0,1,0,53.3,14,58,9,9,29,45,77,50,53,80,27,1,43.5%,122,"$118,200",465,184,18,202,160,150,6,42,41,2.24,2.55,430,89.3%,25.4%
50075,882,"32,750","15,926",830,0,7,5,0,33,7,63,35.5,64,181,40,36,111,145,99,25,35,75,56,15,69.6%,162,"$72,700",356,242,96,338,243,206,30,95,79,2.61,3.07,840,84.6%,18.9%
50076,"1,532","30,061","15,392","1,514",2,2,7,0,0,7,8,44.9,73,297,29,36,141,193,193,99,74,163,156,78,63.8%,360,"$40,400",697,513,132,645,426,366,41,219,199,2.29,2.86,"1,451",80.9%,11.0%
50078,91,"31,250","20,772",87,0,4,0,0,0,0,0,43.8,3,19,0,4,10,10,20,9,3,6,7,0,77.5%,29,"$25,900",44,28,15,43,25,16,7,18,16,2.12,2.8,107,81.9%,7.2%
50101,75,"42,500","17,830",72,0,0,0,0,3,0,15,46.8,4,11,3,2,8,5,20,7,3,5,7,0,89.3%,23,"$51,000",35,24,6,30,26,24,2,4,4,2.5,2.65,63,87.5%,8.3%
50102,101,"35,750","18,322",101,0,0,0,0,0,0,0,47.2,2,13,9,2,12,4,33,5,0,10,8,3,64.0%,37,"$32,100",47,37,7,44,32,29,1,12,12,2.3,2.75,97,79.0%,12.3%
50103,518,"27,500","16,577",515,0,2,1,0,0,0,0,40.2,29,112,22,12,43,88,82,24,26,50,29,1,63.2%,79,"$27,100",237,163,36,199,150,131,13,49,43,2.6,3.04,520,80.1%,9.2%
50104,259,"38,750","13,973",259,0,0,0,0,0,0,1,31.8,18,58,18,13,29,46,28,14,5,13,14,3,72.7%,57,"$42,900",104,75,21,96,64,58,3,32,28,2.7,3.41,244,94.5%,28.1%
50105,"1,126","54,091","19,800","1,097",7,0,15,0,2,5,11,33.2,75,273,54,41,144,219,149,46,31,56,30,8,76.2%,239,"$116,100",403,306,85,391,314,286,19,77,60,2.88,3.23,"1,062",94.1%,35.5%
50106,"1,160","40,227","17,361","1,148",1,1,3,0,3,4,8,39.2,66,244,39,27,142,180,168,52,51,97,76,18,68.6%,281,"$64,600",489,350,118,468,324,277,39,144,120,2.48,2.98,"1,170",88.4%,14.5%
50107,"1,262","31,488","14,603","1,239",1,0,2,0,10,10,14,35.1,92,290,50,41,157,191,128,61,51,100,79,22,61.0%,286,"$40,800",535,349,133,482,340,279,37,142,127,2.62,3.18,"1,247",84.1%,11.9%
50108,519,"27,875","14,798",511,0,1,1,0,1,5,3,41.9,31,101,14,10,48,80,46,29,33,72,40,15,62.0%,87,"$27,100",263,177,46,223,144,129,9,79,73,2.33,2.95,517,80.4%,10.1%
50109,"1,738","65,417","28,789","1,717",5,0,10,0,3,3,12,37.9,107,374,56,43,180,354,255,105,57,99,66,42,71.2%,463,"$131,600",667,542,98,640,496,429,42,144,130,2.64,3.05,"1,770",92.3%,30.7%
50110,81,"35,500","19,409",81,0,0,0,0,0,0,0,47.5,3,17,0,3,9,6,9,7,6,7,11,3,53.0%,27,"$13,800",44,29,6,35,26,23,3,9,9,2.31,2.77,75,68.9%,16.4%
50111,"5,646","57,886","24,862","5,493",20,12,47,0,16,58,59,31.3,582,1266,153,224,1015,1143,644,149,145,173,125,27,83.7%,"1,287","$123,200","2,158","1,705",372,"2,077","1,592","1,307",218,485,400,2.72,3.14,"5,698",96.0%,33.2%
50112,"11,359","37,452","18,382","10,863",97,30,193,9,34,133,146,36.3,612,1873,1084,841,1086,1570,1360,489,468,850,741,385,67.1%,"2,373","$91,100","4,621","2,966","1,374","4,340","2,743","2,271",368,"1,597","1,348",2.31,2.88,"10,007",85.9%,23.4%
50115,"2,785","35,335","20,407","2,738",1,2,4,0,23,17,29,42.5,149,523,75,80,274,398,375,150,138,250,270,103,65.0%,633,"$51,600","1,288",886,251,"1,137",787,667,78,350,312,2.36,2.85,"2,650",80.9%,14.8%
50116,228,"41,250","15,243",221,1,1,0,0,0,5,0,37.3,20,41,3,9,31,48,19,21,18,12,4,2,62.8%,36,"$29,400",93,80,4,84,65,53,5,19,18,2.71,3.11,212,83.0%,5.7%
50117,251,"27,262","16,685",250,0,0,0,0,1,0,4,39.5,12,61,4,6,24,38,48,14,11,22,7,4,74.6%,52,"$76,700",105,78,20,98,76,70,3,22,21,2.56,2.97,252,100.0%,8.9%
50118,924,"44,271","18,787",887,0,15,0,0,15,7,33,34.1,64,211,26,44,129,136,122,51,42,64,28,7,75.0%,236,"$77,100",348,317,16,333,260,216,30,73,64,2.77,3.15,900,83.3%,11.8%
50119,520,"37,679","13,405",519,1,0,0,0,0,0,0,36.3,39,94,22,23,68,82,60,34,28,34,34,2,66.9%,71,"$51,500",216,163,40,203,153,137,13,50,43,2.56,2.98,503,76.4%,5.7%
50120,325,"41,518","17,262",315,0,0,8,0,2,0,3,35.1,26,78,9,6,43,65,30,10,14,28,16,0,81.8%,95,"$76,100",125,96,20,116,89,81,4,27,24,2.8,3.25,351,94.0%,27.4%
50122,"1,521","35,513","19,172","1,512",0,0,2,0,3,4,10,42.4,82,283,42,44,134,237,183,61,72,166,147,70,61.2%,370,"$63,900",657,466,141,607,442,399,29,165,149,2.43,2.88,"1,459",86.9%,17.2%
50123,964,"28,370","14,374",952,0,4,4,0,0,4,7,42.6,51,167,34,21,84,161,111,67,57,96,81,34,66.4%,213,"$35,700",497,338,88,426,282,244,23,144,135,2.26,2.85,962,89.0%,8.1%
50124,"2,753","50,580","21,286","2,689",5,7,14,0,18,20,33,33.5,214,536,116,188,382,447,408,134,87,104,99,38,78.2%,597,"$120,700","1,123",811,259,"1,070",760,627,88,310,235,2.55,3.01,"2,750",91.9%,37.1%
50125,"17,474","47,594","19,935","17,140",63,24,84,10,36,117,148,35.6,1109,3276,1244,1059,1921,2641,2372,803,644,1100,921,384,71.7%,"3,389","$110,400","6,581","4,556","1,740","6,296","4,567","3,817",556,"1,729","1,444",2.55,3,"15,948",90.3%,24.8%
50126,"6,829","34,008","18,128","6,672",66,8,20,0,28,35,62,40.6,380,1105,480,308,662,922,884,375,283,637,520,273,65.2%,"1,725","$66,400","3,110","2,047",813,"2,860","1,805","1,509",205,"1,055",911,2.27,2.86,"6,555",87.5%,20.2%
50128,412,"40,938","17,497",406,3,0,0,0,3,0,5,39.5,32,68,15,13,55,57,61,24,25,25,29,8,73.2%,86,"$49,100",191,128,42,170,111,99,8,59,49,2.42,3.05,403,90.1%,7.7%
50129,"5,724","36,111","18,093","5,612",8,14,19,1,36,34,99,42.5,308,1097,174,143,515,830,783,236,253,563,511,311,59.5%,"1,454","$59,700","2,521","1,770",568,"2,338","1,545","1,295",182,793,721,2.34,2.93,"5,464",84.8%,16.2%
50130,"1,703","40,673","19,388","1,655",3,2,24,0,8,11,20,37.8,114,365,38,43,205,291,234,75,73,124,111,30,67.3%,414,"$85,900",701,506,150,656,484,435,27,172,150,2.58,3.05,"1,698",92.4%,18.6%
50131,"8,970","76,309","37,471","8,634",55,9,174,0,43,55,134,36.5,630,2020,224,245,1103,1701,1413,388,257,477,325,187,73.1%,"2,409","$190,000","3,529","2,498",838,"3,336","2,416","2,183",168,920,765,2.61,3.12,"8,774",94.8%,50.0%
50132,433,"38,889","16,954",422,1,3,3,0,0,4,1,39.3,22,88,16,17,34,90,52,15,25,49,22,3,69.5%,80,"$38,300",188,132,40,172,131,108,13,41,39,2.52,2.9,438,89.3%,12.4%
50133,772,"28,000","12,437",761,1,5,2,0,0,3,1,38.1,65,156,24,35,65,112,77,50,39,77,50,22,59.6%,103,"$29,600",341,226,81,307,211,182,19,96,82,2.51,3.06,762,80.3%,9.9%
50134,682,"57,313","20,712",672,1,1,0,0,2,6,4,34.8,37,161,21,28,96,118,108,26,32,34,15,6,82.8%,139,"$114,500",258,194,57,251,194,167,18,57,46,2.72,3.09,717,95.5%,25.8%
50135,"1,646","42,500","19,564","1,610",8,1,6,2,2,17,13,42.0,86,307,47,48,159,274,264,113,89,150,91,18,69.7%,392,"$76,500",764,559,108,667,495,424,45,172,141,2.47,2.86,"1,713",86.3%,12.8%
50136,567,"31,420","24,374",561,0,0,1,0,4,1,4,40.2,36,114,21,14,62,79,78,30,21,50,52,10,64.0%,118,"$41,500",236,181,43,224,163,141,14,61,56,2.53,3.01,607,89.4%,9.6%
50137,64,"39,167","20,843",64,0,0,0,0,0,0,0,27.0,5,17,2,3,7,11,7,4,2,3,3,0,75.0%,22,"$73,000",23,20,0,20,19,17,2,1,0,3.2,3.26,60,100.0%,8.3%
50138,"11,614","38,919","18,192","11,307",107,28,48,5,34,85,95,39.3,750,2188,400,435,1333,1808,1651,579,537,933,705,295,63.5%,"2,699","$74,900","4,891","3,390","1,207","4,597","3,113","2,559",394,"1,484","1,303",2.42,2.98,"11,252",84.6%,12.8%
50139,"1,233","37,292","17,862","1,216",0,0,3,0,1,13,6,37.4,67,279,48,43,135,203,172,74,58,70,53,31,71.0%,158,"$62,700",488,377,79,456,348,307,23,108,97,2.7,3.16,"1,241",82.6%,10.4%
50140,"3,002","26,031","13,076","2,790",75,5,40,10,21,61,79,24.1,129,396,596,419,211,264,282,126,101,218,166,94,67.6%,404,"$71,300","1,140",596,421,"1,017",575,499,52,442,340,2.27,2.95,"2,306",85.6%,28.0%
50141,655,"45,096","19,004",638,0,4,3,3,0,7,9,39.8,34,149,18,17,60,110,108,44,27,40,41,7,68.8%,136,"$67,300",273,207,44,251,184,163,12,67,57,2.61,3.01,689,90.2%,17.9%
