member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
19610,2011,2014,Expired,Primary,No
19612,2011,2015,Expired,Primary,No
19613,2011,2012,Expired,Primary,No
19614,2011,2013,Expired,Primary,No
19615,2011,2012,Expired,Primary,No
19616,2011,2017,Active,Primary,Yes
19617,2011,2015,Expired,Primary,No
19619,2011,2011,Expired,Primary,No
19620,2011,2015,Expired,Primary,No
19621,2011,2012,Expired,Primary,No
19622,2011,2016,Expired,Primary,Yes
19623,2011,2012,Expired,Primary,No
19625,2011,2012,Expired,Primary,No
19626,2011,2017,Active,Primary,Yes
19627,2011,2014,Expired,Primary,No
19628,2011,2012,Expired,Primary,No
19629,2011,2016,Expired,Primary,Yes
19632,2011,2012,Expired,Primary,No
19633,2011,2012,Expired,Primary,No
19634,2011,2012,Expired,Primary,No
19635,2011,2012,Expired,Primary,No
19637,2011,2012,Expired,Primary,No
19638,2011,2012,Expired,Primary,No
19639,2011,2012,Expired,Primary,No
19640,2011,2015,Expired,Primary,No
19641,2011,2013,Expired,Primary,No
19643,2011,2013,Expired,Primary,No
19644,2011,2012,Expired,Primary,No
19645,2011,2012,Expired,Primary,No
19646,2011,2015,Expired,Primary,No
19647,2011,2012,Expired,Primary,No
19648,2011,2012,Expired,Primary,No
19649,2011,2013,Expired,Primary,No
19650,2011,2017,Active,Primary,Yes
19651,2011,2012,Expired,Primary,No
19654,2011,2017,Active,Primary,Yes
19655,2011,2012,Expired,Primary,No
19656,2011,2012,Expired,Primary,No
19658,2011,2013,Expired,Primary,No
19659,2011,2016,Expired,Primary,Yes
19660,2011,2016,Expired,Primary,Yes
19662,2011,2012,Expired,Primary,No
19663,2011,2016,Expired,Primary,Yes
19665,2011,2012,Expired,Primary,No
19666,2011,2012,Expired,Primary,No
19668,2011,2012,Expired,Primary,No
19670,2011,2012,Expired,Primary,No
19671,2011,2012,Expired,Primary,No
19672,2011,2013,Expired,Primary,No
19673,2011,2016,Expired,Primary,Yes
19674,2011,2013,Expired,Primary,No
19675,2011,2012,Expired,Primary,No
19676,2011,2012,Expired,Primary,No
19677,2011,2016,Active,Primary,Yes
19679,2011,2014,Expired,Primary,No
19680,2011,2012,Expired,Primary,No
19681,2011,2012,Expired,Primary,No
19682,2011,2012,Expired,Primary,No
19683,2011,2017,Active,Primary,Yes
19684,2011,2012,Expired,Primary,No
19685,2011,2012,Expired,Primary,No
19686,2011,2012,Expired,Primary,No
19688,2011,2015,Expired,Primary,No
19689,2011,2012,Expired,Primary,No
19690,2011,2012,Expired,Primary,No
19691,2011,2013,Expired,Primary,No
19693,2011,2014,Expired,Primary,No
19694,2011,2014,Expired,Primary,No
19696,2011,2015,Expired,Primary,No
19697,2011,2012,Expired,Primary,No
19698,2011,2014,Expired,Primary,No
19699,2011,2012,Expired,Primary,No
19702,2011,2013,Expired,Primary,No
19704,2011,2012,Expired,Primary,No
19705,2011,2017,Active,Primary,Yes
19706,2011,2014,Expired,Primary,No
19707,2011,2013,Expired,Primary,No
19708,2011,2012,Expired,Primary,No
19709,2011,2011,Expired,Primary,No
19710,2011,2017,Active,Primary,Yes
19711,2011,2019,Active,Primary,Yes
19712,2011,2013,Expired,Primary,No
19713,2011,2012,Expired,Primary,No
19714,2011,2013,Expired,Primary,No
19715,2011,2012,Expired,Primary,No
19716,2011,2014,Expired,Primary,No
19717,2011,2012,Expired,Primary,No
19718,2011,2012,Expired,Primary,No
19719,2011,2012,Expired,Primary,No
19720,2011,2017,Active,Primary,Yes
19721,2011,2013,Expired,Primary,No
19723,2011,2017,Active,Primary,Yes
19724,2011,2014,Expired,Primary,No
19725,2011,2015,Expired,Primary,No
19726,2011,2012,Expired,Primary,No
19727,2011,2013,Expired,Primary,No
19728,2011,2013,Expired,Primary,No
19729,2011,2012,Expired,Primary,No
19730,2011,2015,Expired,Primary,No
19731,2011,2013,Expired,Primary,No
19732,2011,2017,Active,Primary,Yes
19733,2011,2015,Expired,Primary,No
19734,2011,2013,Expired,Primary,No
19735,2011,2017,Active,Primary,Yes
19737,2011,2014,Expired,Primary,No
19738,2011,2014,Expired,Primary,No
19740,2011,2018,Active,Primary,Yes
19741,2011,2013,Expired,Primary,No
19742,2011,2017,Active,Primary,Yes
19743,2011,2014,Expired,Primary,No
19744,2011,2012,Expired,Primary,No
19745,2011,2012,Expired,Primary,No
19748,2011,2013,Expired,Primary,No
19749,2011,2012,Expired,Primary,No
19750,2011,2012,Expired,Primary,No
19751,2011,2013,Expired,Primary,No
19752,2011,2014,Expired,Primary,No
19753,2011,2012,Expired,Primary,No
19754,2011,2013,Expired,Primary,No
19755,2011,2012,Expired,Primary,No
19756,2011,2017,Active,Primary,Yes
19757,2011,2017,Active,Primary,Yes
19758,2011,2016,Expired,Primary,Yes
19760,2011,2016,Expired,Primary,Yes
19761,2011,2012,Expired,Primary,No
19762,2011,2016,Expired,Primary,Yes
19763,2011,2012,Expired,Primary,No
19766,2011,2012,Expired,Primary,No
19767,2011,2012,Expired,Primary,No
19768,2011,2012,Expired,Primary,No
19770,2011,2012,Expired,Primary,No
19771,2011,2012,Expired,Primary,No
19773,2011,2014,Expired,Primary,No
19774,2011,2012,Expired,Primary,No
19775,2011,2013,Expired,Primary,No
19776,2011,2014,Expired,Primary,No
19778,2011,2016,Active,Primary,Yes
19780,2011,2012,Expired,Primary,No
19781,2011,2017,Active,Primary,Yes
19783,2011,2012,Expired,Primary,No
19784,2011,2012,Expired,Primary,No
19785,2011,2019,Active,Primary,Yes
19786,2011,2012,Expired,Primary,No
19787,2011,2012,Expired,Primary,No
19788,2011,2013,Expired,Primary,No
19789,2011,2011,Expired,Primary,No
19791,2011,2012,Expired,Primary,No
19794,2011,2012,Expired,Primary,No
19795,2011,2015,Expired,Primary,No
19796,2011,2018,Active,Primary,Yes
19797,2011,2018,Active,Primary,Yes
19798,2011,2011,Expired,Primary,No
19799,2011,2017,Active,Primary,Yes
19800,2011,2014,Expired,Primary,No
19801,2011,2014,Expired,Primary,No
19802,2011,2012,Expired,Primary,No
19803,2011,2017,Active,Primary,Yes
19804,2011,2016,Expired,Primary,Yes
19805,2011,2017,Active,Primary,Yes
19807,2011,2020,Active,Primary,Yes
19809,2011,2012,Expired,Primary,No
19812,2011,2013,Expired,Primary,No
19813,2011,2017,Active,Primary,Yes
19814,2011,2016,Expired,Primary,Yes
19815,2011,2014,Expired,Primary,No
19816,2011,2017,Active,Primary,Yes
19817,2011,2012,Expired,Primary,No
19818,2011,2015,Expired,Primary,No
19819,2011,2015,Expired,Primary,No
19820,2011,2014,Expired,Primary,No
19821,2011,2012,Expired,Primary,No
19823,2011,2012,Expired,Primary,No
19824,2011,2013,Expired,Primary,No
19825,2011,2012,Expired,Primary,No
19826,2011,2012,Expired,Primary,No
19827,2011,2017,Active,Primary,Yes
19828,2011,2013,Expired,Primary,No
19830,2011,2012,Expired,Primary,No
19831,2011,2012,Expired,Primary,No
19832,2011,2013,Expired,Primary,No
19833,2011,2012,Expired,Primary,No
19834,2011,2014,Expired,Primary,No
19835,2011,2015,Expired,Primary,No
19837,2011,2017,Active,Primary,Yes
19838,2011,2014,Expired,Primary,No
19840,2011,2012,Expired,Primary,No
19841,2011,2012,Expired,Primary,No
19842,2011,2012,Expired,Primary,No
19843,2011,2017,Active,Primary,Yes
19845,2011,2016,Active,Primary,Yes
19846,2011,2014,Expired,Primary,No
19847,2011,2012,Expired,Primary,No
19850,2011,2017,Active,Primary,Yes
19851,2011,2015,Expired,Primary,No
19853,2011,2012,Expired,Primary,No
19854,2011,2016,Expired,Primary,Yes
19856,2011,2012,Expired,Primary,No
19857,2011,2012,Expired,Primary,No
19858,2011,2016,Expired,Primary,Yes
19859,2011,2013,Expired,Primary,No
19860,2011,2012,Expired,Primary,No
19861,2011,2012,Expired,Primary,No
19862,2011,2013,Expired,Primary,No
19863,2011,2012,Expired,Primary,No
19864,2011,2017,Active,Primary,Yes
19865,2011,2013,Expired,Primary,No
19866,2011,2013,Expired,Primary,No
19867,2011,2012,Expired,Primary,No
19869,2011,2017,Active,Primary,Yes
19870,2011,2012,Expired,Primary,No
19871,2011,2012,Expired,Primary,No
19872,2011,2014,Expired,Primary,No
19873,2011,2012,Expired,Primary,No
19874,2011,2014,Expired,Primary,No
19875,2011,2017,Active,Primary,Yes
19876,2011,2018,Active,Primary,Yes
19877,2011,2012,Expired,Primary,No
19878,2011,2014,Expired,Primary,No
19879,2011,2012,Expired,Primary,No
19880,2011,2014,Expired,Primary,No
19881,2011,2017,Active,Primary,Yes
19882,2011,2016,Expired,Primary,Yes
19883,2011,2014,Expired,Primary,No
19885,2011,2012,Expired,Primary,No
19886,2011,2012,Expired,Primary,No
19887,2011,2012,Expired,Primary,No
19889,2011,2016,Active,Primary,Yes
19890,2011,2013,Expired,Primary,No
19891,2011,2012,Expired,Primary,No
19892,2011,2018,Active,Primary,Yes
19893,2011,2013,Expired,Primary,No
19894,2011,2012,Expired,Primary,No
19895,2011,2019,Active,Primary,Yes
19898,2011,2012,Expired,Primary,No
19900,2011,2013,Expired,Primary,No
19902,2011,2017,Active,Primary,Yes
19903,2011,2013,Expired,Primary,No
19904,2011,2016,Expired,Primary,Yes
19905,2011,2012,Expired,Primary,No
19906,2011,2012,Expired,Primary,No
19908,2011,2012,Expired,Primary,No
19909,2011,2014,Expired,Primary,No
19910,2011,2017,Active,Primary,Yes
19911,2011,2017,Active,Primary,Yes
19913,2011,2012,Expired,Primary,No
19915,2011,2012,Expired,Primary,No
19916,2011,2017,Active,Primary,Yes
19917,2011,2014,Expired,Primary,No
19918,2011,2012,Expired,Primary,No
19919,2013,2014,Expired,Primary,No
19920,2011,2012,Expired,Primary,No
19922,2011,2012,Expired,Primary,No
19924,2011,2012,Expired,Primary,No
19925,2011,2014,Expired,Primary,No
19926,2011,2014,Expired,Primary,No
19927,2011,2014,Expired,Primary,No
19928,2011,2017,Active,Primary,Yes
19931,2011,2012,Expired,Primary,No
19935,2011,2012,Expired,Primary,No
19936,2011,2016,Expired,Primary,Yes
19938,2011,2012,Expired,Primary,No
19939,2011,2016,Expired,Primary,Yes
19940,2011,2012,Expired,Primary,No
19941,2011,2016,Expired,Primary,Yes
19942,2011,2012,Expired,Primary,No
19943,2011,2013,Expired,Primary,No
19945,2011,2012,Expired,Primary,No
19946,2011,2012,Expired,Primary,No
19947,2011,2012,Expired,Primary,No
19948,2011,2015,Expired,Primary,No
19949,2011,2012,Expired,Primary,No
19950,2011,2012,Expired,Primary,No
19951,2011,2012,Expired,Primary,No
19952,2011,2014,Expired,Primary,No
19953,2011,2015,Expired,Primary,No
19954,2011,2012,Expired,Primary,No
19955,2011,2017,Active,Primary,Yes
19956,2011,2017,Active,Primary,Yes
19957,2011,2012,Expired,Primary,No
19958,2011,2014,Expired,Primary,No
19959,2011,2018,Active,Primary,Yes
19960,2011,2012,Expired,Primary,No
19961,2011,2013,Expired,Primary,No
19962,2011,2012,Expired,Primary,No
19963,2011,2013,Expired,Primary,No
19964,2011,2014,Expired,Primary,No
19965,2011,2012,Expired,Primary,No
19966,2011,2014,Expired,Primary,No
19967,2011,2015,Expired,Primary,No
19968,2011,2012,Expired,Primary,No
19969,2011,2017,Active,Primary,Yes
19972,2011,2013,Expired,Primary,No
19973,2011,2015,Expired,Primary,No
19974,2011,2012,Expired,Primary,No
19975,2011,2015,Expired,Primary,No
19977,2011,2017,Active,Primary,Yes
19978,2011,2013,Expired,Primary,No
19979,2011,2012,Expired,Primary,No
19980,2011,2012,Expired,Primary,No
19981,2011,2016,Expired,Primary,Yes
19982,2011,2012,Expired,Primary,No
19983,2011,2017,Active,Primary,Yes
19984,2011,2012,Expired,Primary,No
19985,2011,2015,Expired,Primary,No
19986,2011,2012,Expired,Primary,No
19988,2011,2014,Expired,Primary,No
19989,2011,2012,Expired,Primary,No
19990,2011,2017,Active,Primary,Yes
19991,2011,2012,Expired,Primary,No
19992,2011,2012,Expired,Primary,No
19993,2011,2015,Expired,Primary,No
19994,2011,2012,Expired,Primary,No
19995,2011,2012,Expired,Primary,No
19996,2011,2012,Expired,Primary,No
19997,2011,2017,Active,Primary,Yes
19999,2011,2012,Expired,Primary,No
20000,2011,2013,Expired,Primary,No
20002,2011,2012,Expired,Primary,No
20003,2011,2017,Active,Primary,Yes
20004,2011,2014,Expired,Primary,No
20005,2011,2017,Active,Primary,Yes
20006,2011,2015,Expired,Primary,No
20008,2011,2012,Expired,Primary,No
20009,2011,2014,Expired,Primary,No
20010,2011,2013,Expired,Primary,No
20011,2011,2012,Expired,Primary,No
20013,2011,2014,Expired,Primary,No
20014,2011,2018,Active,Primary,Yes
20015,2011,2017,Active,Primary,Yes
20016,2011,2013,Expired,Primary,No
20017,2011,2012,Expired,Primary,No
20018,2011,2012,Expired,Primary,No
20019,2011,2012,Expired,Primary,No
20020,2011,2012,Expired,Primary,No
20021,2011,2017,Active,Primary,Yes
20022,2011,2013,Expired,Primary,No
20023,2011,2017,Active,Primary,Yes
20025,2011,2012,Expired,Primary,No
20026,2011,2012,Expired,Primary,No
20027,2011,2014,Expired,Primary,No
20029,2011,2015,Expired,Primary,No
20030,2011,2014,Expired,Primary,No
20031,2011,2014,Expired,Primary,No
20032,2011,2013,Expired,Primary,No
20033,2011,2017,Active,Primary,Yes
20034,2011,2012,Expired,Primary,No
20035,2011,2013,Expired,Primary,No
20036,2011,2013,Expired,Primary,No
20037,2011,2013,Expired,Primary,No
20039,2011,2012,Expired,Primary,No
20040,2011,2012,Expired,Primary,No
20041,2011,2012,Expired,Primary,No
20042,2011,2012,Expired,Primary,No
20043,2011,2012,Expired,Primary,No
20044,2011,2012,Expired,Primary,No
20047,2011,2017,Active,Primary,Yes
20048,2011,2012,Expired,Primary,No
20050,2011,2017,Active,Primary,Yes
20051,2011,2014,Expired,Primary,No
20052,2011,2012,Expired,Primary,No
20053,2011,2016,Active,Primary,Yes
20054,2011,2017,Active,Primary,Yes
20055,2011,2015,Expired,Primary,No
20056,2011,2012,Expired,Primary,No
20057,2011,2012,Expired,Primary,No
20059,2011,2017,Active,Primary,Yes
20060,2011,2018,Active,Primary,Yes
20061,2011,2013,Expired,Primary,No
20062,2011,2018,Active,Primary,Yes
20063,2011,2015,Expired,Primary,No
20064,2011,2012,Expired,Primary,No
20065,2011,2013,Expired,Primary,No
20068,2011,2012,Expired,Primary,No
20069,2011,2012,Expired,Primary,No
20071,2011,2015,Expired,Primary,No
20072,2011,2012,Expired,Primary,No
20073,2011,2012,Expired,Primary,No
20074,2011,2017,Active,Primary,Yes
20075,2011,2017,Active,Primary,Yes
20077,2011,2012,Expired,Primary,No
20078,2011,2012,Expired,Primary,No
20079,2011,2014,Expired,Primary,No
20080,2011,2012,Expired,Primary,No
20081,2011,2017,Active,Primary,Yes
20082,2011,2014,Expired,Primary,No
20083,2011,2013,Expired,Primary,No
20085,2011,2017,Active,Primary,Yes
20086,2011,2012,Expired,Primary,No
20087,2011,2012,Expired,Primary,No
20088,2011,2012,Expired,Primary,No
20089,2011,2012,Expired,Primary,No
20090,2011,2017,Active,Primary,Yes
20091,2011,2012,Expired,Primary,No
20092,2011,2012,Expired,Primary,No
20093,2011,2017,Active,Primary,Yes
20094,2011,2015,Expired,Primary,No
20096,2011,2012,Expired,Primary,No
20097,2011,2012,Expired,Primary,No
20099,2011,2015,Expired,Primary,No
20101,2011,2012,Expired,Primary,No
20102,2011,2012,Expired,Primary,No
20103,2011,2014,Expired,Primary,No
20104,2011,2013,Expired,Primary,No
20105,2011,2012,Expired,Primary,No
20106,2011,2012,Expired,Primary,No
20107,2011,2016,Expired,Primary,Yes
20108,2011,2017,Active,Primary,Yes
20110,2011,2013,Expired,Primary,No
20111,2011,2012,Expired,Primary,No
20113,2011,2015,Expired,Primary,No
20114,2011,2017,Active,Primary,Yes
20115,2011,2016,Expired,Primary,Yes
20116,2011,2012,Expired,Primary,No
20117,2011,2017,Active,Primary,Yes
20120,2011,2012,Expired,Primary,No
20121,2011,2012,Expired,Primary,No
20122,2011,2012,Expired,Primary,No
20123,2011,2015,Expired,Primary,No
20125,2011,2014,Expired,Primary,No
20127,2011,2018,Active,Primary,Yes
20128,2011,2012,Expired,Primary,No
20130,2011,2012,Expired,Primary,No
20131,2011,2012,Expired,Primary,No
20132,2011,2015,Expired,Primary,No
20134,2011,2012,Expired,Primary,No
20135,2011,2012,Expired,Primary,No
20136,2011,2012,Expired,Primary,No
20137,2011,2017,Active,Primary,Yes
20138,2011,2015,Expired,Primary,No
20139,2011,2012,Expired,Primary,No
20140,2011,2012,Expired,Primary,No
20141,2011,2018,Active,Primary,Yes
20144,2011,2012,Expired,Primary,No
20145,2011,2016,Expired,Primary,Yes
20146,2011,2015,Expired,Primary,No
20147,2011,2012,Expired,Primary,No
20148,2011,2012,Expired,Primary,No
20149,2011,2016,Active,Primary,Yes
20150,2011,2017,Active,Primary,Yes
20152,2011,2015,Expired,Primary,No
20153,2011,2016,Expired,Primary,Yes
20154,2011,2012,Expired,Primary,No
20155,2011,2012,Expired,Primary,No
20156,2011,2013,Expired,Primary,No
20157,2011,2012,Expired,Primary,No
20158,2011,2013,Expired,Primary,No
20159,2011,2012,Expired,Primary,No
20160,2011,2012,Expired,Primary,No
20161,2011,2012,Expired,Primary,No
20162,2011,2014,Expired,Primary,No
20163,2011,2015,Expired,Primary,No
20164,2011,2016,Expired,Primary,Yes
20165,2011,2013,Expired,Primary,No
20167,2011,2012,Expired,Primary,No
20168,2011,2012,Expired,Primary,No
20169,2011,2017,Active,Primary,Yes
20170,2011,2013,Expired,Primary,No
20171,2011,2014,Expired,Primary,No
20173,2011,2012,Expired,Primary,No
20175,2011,2012,Expired,Primary,No
20177,2011,2012,Expired,Primary,No
20178,2011,2013,Expired,Primary,No
20179,2011,2017,Active,Primary,Yes
20180,2011,2012,Expired,Primary,No
20181,2011,2012,Expired,Primary,No
20182,2011,2012,Expired,Primary,No
20185,2011,2014,Expired,Primary,No
20186,2011,2012,Expired,Primary,No
20187,2011,2012,Expired,Primary,No
20188,2011,2018,Active,Primary,Yes
20189,2011,2012,Expired,Primary,No
20190,2011,2014,Expired,Primary,No
20191,2011,2012,Expired,Primary,No
20193,2011,2012,Expired,Primary,No
20194,2011,2012,Expired,Primary,No
20195,2011,2016,Active,Primary,Yes
20196,2011,2017,Active,Primary,Yes
20197,2011,2017,Active,Primary,Yes
20199,2011,2014,Expired,Primary,No
20200,2011,2013,Expired,Primary,No
20201,2011,2017,Active,Primary,Yes
20203,2011,2014,Expired,Primary,No
20205,2011,2015,Expired,Primary,No
20206,2011,2012,Expired,Primary,No
20208,2011,2013,Expired,Primary,No
20209,2011,2012,Expired,Primary,No
20210,2011,2018,Active,Primary,Yes
20211,2011,2012,Expired,Primary,No
20212,2011,2012,Expired,Primary,No
20213,2011,2017,Active,Primary,Yes
20214,2011,2012,Expired,Primary,No
20215,2011,2012,Expired,Primary,No
20217,2011,2017,Active,Primary,Yes
20218,2011,2012,Expired,Primary,No
20219,2011,2012,Expired,Primary,No
20221,2011,2012,Expired,Primary,No
20222,2011,2013,Expired,Primary,No
20223,2011,2012,Expired,Primary,No
20224,2011,2012,Expired,Primary,No
20227,2011,2013,Expired,Primary,No
20229,2011,2014,Expired,Primary,No
20230,2011,2017,Active,Primary,Yes
20231,2011,2014,Expired,Primary,No
20232,2011,2013,Expired,Primary,No
20233,2011,2012,Expired,Primary,No
20234,2011,2012,Expired,Primary,No
20236,2011,2012,Expired,Primary,No
20237,2011,2016,Expired,Primary,Yes
20238,2011,2017,Active,Primary,Yes
20240,2011,2013,Expired,Primary,No
20241,2011,2016,Expired,Primary,Yes
20242,2011,2017,Active,Primary,Yes
20243,2011,2015,Expired,Primary,No
20244,2011,2015,Expired,Primary,No
20245,2011,2016,Expired,Primary,Yes
20246,2011,2017,Active,Primary,Yes
20247,2011,2013,Expired,Primary,No
20248,2011,2012,Expired,Primary,No
20249,2012,2013,Expired,Primary,No
20250,2011,2012,Expired,Primary,No
20251,2011,2015,Expired,Primary,No
20252,2011,2012,Expired,Primary,No
20253,2011,2012,Expired,Primary,No
20254,2011,2012,Expired,Primary,No
20255,2011,2012,Expired,Primary,No
20256,2011,2012,Expired,Primary,No
20257,2011,2016,Active,Primary,Yes
20258,2011,2017,Active,Primary,Yes
20259,2011,2012,Expired,Primary,No
20260,2011,2017,Active,Primary,Yes
20261,2011,2012,Expired,Primary,No
20263,2011,2018,Active,Primary,Yes
20265,2011,2015,Expired,Primary,No
20266,2011,2016,Expired,Primary,Yes
20268,2011,2016,Expired,Primary,Yes
20269,2011,2014,Expired,Primary,No
20270,2011,2014,Expired,Primary,No
20271,2011,2012,Expired,Primary,No
20272,2011,2013,Expired,Primary,No
20273,2011,2012,Expired,Primary,No
20274,2011,2012,Expired,Primary,No
20275,2011,2012,Expired,Primary,No
20276,2011,2012,Expired,Primary,No
20278,2011,2012,Expired,Primary,No
20279,2011,2014,Expired,Primary,No
20280,2011,2012,Expired,Primary,No
20281,2011,2016,Expired,Primary,Yes
20282,2011,2012,Expired,Primary,No
20283,2011,2014,Expired,Primary,No
20284,2011,2016,Expired,Primary,Yes
20285,2011,2016,Expired,Primary,Yes
20286,2011,2016,Expired,Primary,Yes
20288,2011,2012,Expired,Primary,No
20289,2011,2013,Expired,Primary,No
20290,2011,2015,Expired,Primary,No
20291,2011,2012,Expired,Primary,No
20293,2011,2012,Expired,Primary,No
20294,2011,2012,Expired,Primary,No
20295,2011,2014,Expired,Primary,No
20296,2011,2012,Expired,Primary,No
20297,2011,2012,Expired,Primary,No
20298,2011,2012,Expired,Primary,No
20299,2011,2015,Expired,Primary,No
20300,2011,2014,Expired,Primary,No
20302,2011,2012,Expired,Primary,No
20303,2011,2012,Expired,Primary,No
20305,2011,2014,Expired,Primary,No
20306,2011,2016,Expired,Primary,Yes
20307,2011,2012,Expired,Primary,No
20308,2011,2012,Expired,Primary,No
20309,2011,2015,Expired,Primary,No
20310,2011,2015,Expired,Primary,No
20311,2011,2012,Expired,Primary,No
20312,2011,2012,Expired,Primary,No
20313,2011,2012,Expired,Primary,No
20314,2011,2012,Expired,Primary,No
20315,2011,2016,Active,Primary,Yes
20317,2011,2015,Expired,Primary,No
20318,2011,2012,Expired,Primary,No
20319,2011,2016,Expired,Primary,Yes
20320,2011,2016,Expired,Primary,Yes
20321,2011,2017,Active,Primary,Yes
20322,2011,2017,Active,Primary,Yes
20323,2011,2014,Expired,Primary,No
20325,2011,2015,Expired,Primary,No
20326,2011,2015,Expired,Primary,No
20327,2011,2012,Expired,Primary,No
20328,2011,2013,Expired,Primary,No
20329,2011,2012,Expired,Primary,No
20330,2011,2013,Expired,Primary,No
20332,2011,2012,Expired,Primary,No
20333,2011,2012,Expired,Primary,No
20335,2011,2013,Expired,Primary,No
20336,2011,2015,Expired,Primary,No
20337,2011,2014,Expired,Primary,No
20339,2011,2012,Expired,Primary,No
20340,2011,2017,Active,Primary,Yes
20342,2011,2012,Expired,Primary,No
20343,2011,2017,Active,Primary,Yes
20344,2011,2017,Active,Primary,Yes
20345,2011,2016,Expired,Primary,Yes
20346,2011,2017,Active,Primary,Yes
20348,2011,2012,Expired,Primary,No
20349,2011,2012,Expired,Primary,No
20350,2011,2012,Expired,Primary,No
20352,2011,2015,Expired,Primary,No
20353,2011,2012,Expired,Primary,No
20354,2011,2012,Expired,Primary,No
20355,2011,2013,Expired,Primary,No
20357,2011,2012,Expired,Primary,No
20358,2011,2014,Expired,Primary,No
20359,2011,2012,Expired,Primary,No
20360,2011,2013,Expired,Primary,No
20361,2011,2013,Expired,Primary,No
20362,2011,2014,Expired,Primary,No
20363,2011,2017,Active,Primary,Yes
20365,2011,2017,Active,Primary,Yes
20366,2011,2012,Expired,Primary,No
20367,2011,2012,Expired,Primary,No
20368,2011,2014,Expired,Primary,No
20369,2011,2015,Expired,Primary,No
20370,2011,2012,Expired,Primary,No
20371,2011,2013,Expired,Primary,No
20372,2011,2017,Active,Primary,Yes
20374,2011,2012,Expired,Primary,No
20375,2011,2012,Expired,Primary,No
20376,2011,2012,Expired,Primary,No
20377,2011,2017,Active,Primary,Yes
20378,2011,2017,Active,Primary,Yes
20379,2011,2017,Active,Primary,Yes
20380,2011,2016,Expired,Primary,Yes
20382,2011,2012,Expired,Primary,No
20384,2011,2014,Expired,Primary,No
20385,2011,2017,Active,Primary,Yes
20387,2011,2016,Expired,Primary,Yes
20388,2011,2012,Expired,Primary,No
20389,2011,2014,Expired,Primary,No
20390,2011,2012,Expired,Primary,No
20391,2011,2012,Expired,Primary,No
20392,2011,2012,Expired,Primary,No
20393,2011,2012,Expired,Primary,No
20395,2011,2017,Active,Primary,Yes
20396,2011,2013,Expired,Primary,No
20397,2011,2012,Expired,Primary,No
20398,2011,2012,Expired,Primary,No
20400,2011,2017,Active,Primary,Yes
20401,2011,2017,Active,Primary,Yes
20402,2011,2012,Expired,Primary,No
20403,2011,2017,Active,Primary,Yes
20404,2011,2012,Expired,Primary,No
20405,2011,2012,Expired,Primary,No
20406,2011,2013,Expired,Primary,No
20408,2011,2012,Expired,Primary,No
20410,2011,2013,Expired,Primary,No
20412,2011,2017,Active,Primary,Yes
20413,2011,2013,Expired,Primary,No
20414,2011,2012,Expired,Primary,No
20415,2011,2015,Expired,Primary,No
20416,2011,2012,Expired,Primary,No
20417,2011,2014,Expired,Primary,No
20418,2011,2012,Expired,Primary,No
20419,2011,2013,Expired,Primary,No
20420,2011,2015,Expired,Primary,No
20421,2011,2017,Active,Primary,Yes
20423,2011,2016,Expired,Primary,Yes
20424,2011,2013,Expired,Primary,No
20425,2011,2012,Expired,Primary,No
20426,2011,2017,Active,Primary,Yes
20427,2011,2012,Expired,Primary,No
20428,2011,2013,Expired,Primary,No
20430,2011,2017,Active,Primary,Yes
20431,2011,2017,Active,Primary,Yes
20432,2011,2012,Expired,Primary,No
20433,2011,2012,Expired,Primary,No
20434,2011,2017,Active,Primary,Yes
20435,2011,2014,Expired,Primary,No
20436,2011,2012,Expired,Primary,No
20437,2011,2012,Expired,Primary,No
20438,2011,2016,Expired,Primary,Yes
20439,2011,2016,Expired,Primary,Yes
20440,2011,2014,Expired,Primary,No
20442,2011,2015,Expired,Primary,No
20444,2011,2012,Expired,Primary,No
20445,2011,2017,Active,Primary,Yes
20446,2011,2013,Expired,Primary,No
20447,2011,2012,Expired,Primary,No
20448,2011,2012,Expired,Primary,No
20449,2011,2013,Expired,Primary,No
20451,2011,2016,Expired,Primary,Yes
20452,2011,2013,Expired,Primary,No
20453,2011,2012,Expired,Primary,No
20454,2011,2014,Expired,Primary,No
20455,2011,2014,Expired,Primary,No
20456,2011,2013,Expired,Primary,No
20457,2011,2016,Expired,Primary,Yes
20459,2011,2019,Active,Primary,Yes
20462,2011,2013,Expired,Primary,No
20464,2011,2014,Expired,Primary,No
20465,2011,2012,Expired,Primary,No
20466,2011,2016,Expired,Primary,Yes
20467,2011,2012,Expired,Primary,No
20468,2011,2012,Expired,Primary,No
20469,2011,2016,Expired,Primary,Yes
20470,2011,2012,Expired,Primary,No
20471,2011,2012,Expired,Primary,No
20472,2011,2013,Expired,Primary,No
20473,2011,2017,Active,Primary,Yes
20474,2011,2014,Expired,Primary,No
20475,2011,2012,Expired,Primary,No
20476,2011,2012,Expired,Primary,No
20477,2011,2014,Expired,Primary,No
20480,2011,2013,Expired,Primary,No
20481,2011,2015,Expired,Primary,No
20482,2011,2013,Expired,Primary,No
20483,2011,2017,Active,Primary,Yes
20484,2011,2012,Expired,Primary,No
20485,2011,2012,Expired,Primary,No
20486,2011,2016,Expired,Primary,Yes
20488,2011,2017,Active,Primary,Yes
20489,2011,2012,Expired,Primary,No
20491,2011,2013,Expired,Primary,No
20492,2011,2013,Expired,Primary,No
20493,2011,2012,Expired,Primary,No
