member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
1200,2004,2019,Active,Primary,Yes
1205,2004,2017,Active,Primary,Yes
1206,2004,2017,Active,Primary,Yes
1213,2004,2016,Expired,Primary,Yes
1215,2004,2015,Expired,Primary,No
1220,2004,2017,Active,Primary,Yes
1225,2004,2015,Expired,Primary,No
1231,2004,2015,Expired,Primary,No
1259,2004,2010,Expired,Primary,No
1287,2004,2019,Active,Primary,Yes
1319,2004,2015,Expired,Primary,No
1323,2004,2016,Expired,Primary,Yes
1329,2004,2017,Active,Primary,Yes
1338,2004,2010,Expired,Primary,No
1348,2004,2015,Expired,Primary,No
1349,2004,2016,Expired,Primary,Yes
1358,2004,2017,Active,Primary,Yes
1361,2004,2010,Expired,Primary,No
1365,2004,2017,Active,Primary,Yes
1370,2004,2017,Active,Primary,Yes
1378,2004,2017,Active,Primary,Yes
1392,2004,2011,Expired,Primary,No
1396,2004,2013,Expired,Primary,No
1403,2004,2017,Active,Primary,Yes
1422,2004,2010,Expired,Primary,No
1442,2004,2017,Active,Primary,Yes
1447,2004,2017,Active,Primary,Yes
1450,2004,2018,Active,Primary,Yes
1453,2004,2019,Active,Primary,Yes
1480,2004,2017,Active,Primary,Yes
1481,2004,2010,Expired,Primary,No
1486,2004,2014,Expired,Primary,No
1493,2004,2010,Expired,Primary,No
1507,2004,2011,Expired,Primary,No
1515,2004,2011,Expired,Primary,No
1517,2005,2020,Active,Primary,Yes
1519,2005,2011,Expired,Primary,No
1536,2005,2013,Expired,Primary,No
1551,2005,2010,Expired,Primary,No
1556,2005,2016,Expired,Primary,Yes
1567,2005,2017,Active,Primary,Yes
1590,2005,2013,Expired,Primary,No
1599,2005,2011,Expired,Primary,No
1600,2005,2017,Active,Primary,Yes
1613,2005,2017,Active,Primary,Yes
1620,2005,2010,Expired,Primary,No
1623,2005,2016,Expired,Primary,Yes
1628,2005,2012,Expired,Primary,No
1658,2005,2017,Active,Primary,Yes
1666,2005,2010,Expired,Primary,No
1683,2005,2010,Expired,Primary,No
1688,2005,2017,Active,Primary,Yes
1689,2005,2016,Expired,Primary,Yes
1701,2005,2010,Expired,Primary,No
1705,2005,2015,Expired,Primary,No
1706,2005,2015,Expired,Primary,No
1712,2005,2014,Expired,Primary,No
1734,2005,2017,Active,Primary,Yes
1762,2005,2017,Active,Primary,Yes
1772,2005,2014,Expired,Primary,No
